# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	1.7992557e-15	-0	-1.8261403e-13	0	0	1	0	0	1
0	0.0001631065	-0.0001537968	0.99997467	0	0	0.94999886	0.0001631065	-0.0001537968	0.99997467	-1.7804366e-13	1.7991687e-15	1.01376025e-19	-1.8229582e-13	0.0003261913	-0.00030757318	0.9999493	2.1672006e-08	-2.043503e-08	1
0	0.00017101731	-0.00016125945	0.9999728	0	0	0.900001	0.00017101731	-0.00016125945	0.99997294	-1.7804367e-13	1.7991624e-15	1.05993243e-19	-1.8197733e-13	0.00034201192	-0.0003224975	0.99994576	2.2733312e-08	-2.1436204e-08	1
0	0.00017973309	-0.00016948182	0.9999709	0	0	0.849999	0.00017973308	-0.0001694818	0.9999709	-1.7804367e-13	1.7991556e-15	1.1100914e-19	-1.8165882e-13	0.00035944226	-0.00033894106	0.9999418	2.390262e-08	-2.2539313e-08	1
0	0.00018938538	-0.00017858787	0.99996865	0	0	0.8000007	0.00018938538	-0.00017858787	0.99996865	-1.7804368e-13	1.7991475e-15	1.1647742e-19	-1.8134034e-13	0.00037874555	-0.00035715196	0.99993736	2.5197583e-08	-2.3760991e-08	1
0	0.0002001313	-0.00018872612	0.99996614	0	0	0.75	0.0002001313	-0.00018872612	0.99996614	-1.7804371e-13	1.7991395e-15	1.2246219e-19	-1.8102185e-13	0.000400236	-0.0003774271	0.99993235	2.6639281e-08	-2.512115e-08	1
0	0.00021217238	-0.00020008656	0.99996334	0	0	0.69999945	0.00021217238	-0.00020008656	0.9999633	-1.7804371e-13	1.7991295e-15	1.2904036e-19	-1.8070335e-13	0.0004243165	-0.00040014647	0.99992657	2.8254753e-08	-2.6645303e-08	1
0	0.00022575282	-0.00021289999	0.99996006	0	0	0.6500008	0.00022575282	-0.00021289999	0.99996006	-1.7804374e-13	1.7991179e-15	1.363054e-19	-1.8038488e-13	0.00045147556	-0.0004257716	0.99992007	3.007676e-08	-2.83644e-08	1
0	0.00024118734	-0.00022746368	0.99995625	0	0	0.59999925	0.00024118734	-0.00022746368	0.99995625	-1.7804375e-13	1.799105e-15	1.443718e-19	-1.800664e-13	0.00048234256	-0.00045489703	0.99991244	3.2147533e-08	-3.0318333e-08	1
0	0.00025888855	-0.00024416705	0.99995184	0	0	0.5499998	0.00025888855	-0.00024416705	0.99995184	-1.7804375e-13	1.79909e-15	1.5338203e-19	-1.7974789e-13	0.0005177426	-0.00048830156	0.9999037	3.4522436e-08	-3.255935e-08	1
0	0.0002793906	-0.0002635148	0.9999466	0	0	0.5	0.00027939063	-0.00026351484	0.9999466	-1.7804376e-13	1.799072e-15	1.6351537e-19	-1.794294e-13	0.000558744	-0.0005269945	0.99989325	3.727313e-08	-3.515517e-08	1
0	0.0003034172	-0.00028619057	0.99994045	0	0	0.4500005	0.0003034172	-0.00028619057	0.99994045	-1.7804376e-13	1.79905e-15	1.7500121e-19	-1.7911092e-13	0.000606794	-0.0005723429	0.99988085	4.0496715e-08	-3.819751e-08	1
0	0.00033196242	-0.00031313355	0.99993294	0	0	0.40000036	0.00033196242	-0.00031313355	0.99993294	-1.7804376e-13	1.7990243e-15	1.8813874e-19	-1.7879242e-13	0.0006638805	-0.0006262253	0.9998658	4.432657e-08	-4.1812395e-08	1
0	0.00036643154	-0.00034567207	0.9999237	0	0	0.34999973	0.00036643154	-0.00034567207	0.9999237	-1.7804378e-13	1.798992e-15	2.0332633e-19	-1.7847393e-13	0.00073281414	-0.00069129805	0.99984735	4.8951257e-08	-4.6178048e-08	1
0	0.00040888003	-0.00038574962	0.99991214	0	0	0.29999962	0.00040888	-0.0003857496	0.99991214	-1.7804376e-13	1.7989519e-15	2.2110856e-19	-1.7815545e-13	0.00081770547	-0.00077144767	0.9998242	5.464655e-08	-5.155521e-08	1
0	0.00046244264	-0.00043633094	0.99989724	0	0	0.25	0.00046244264	-0.00043633094	0.99989724	-1.7804376e-13	1.7989e-15	2.4225352e-19	-1.7783698e-13	0.0009248234	-0.00087260356	0.9997945	6.1833056e-08	-5.8341705e-08	1
0	0.0005402627	-0.00050984375	0.9998752	0	0	0.19499981	0.0005402627	-0.0005098437	0.9998752	-1.7804376e-13	1.798823e-15	2.707562e-19	-1.7748669e-13	0.0010804533	-0.0010196193	0.99975044	7.227423e-08	-6.820494e-08	1
0	0.0005486566	-0.00051777577	0.9998728	0	0	0.19000006	0.0005486566	-0.00051777577	0.9998728	-1.7804376e-13	1.7988149e-15	2.7368912e-19	-1.7745484e-13	0.0010972397	-0.0010354824	0.9997456	7.3400436e-08	-6.926919e-08	1
0	0.0005573142	-0.0005259563	0.9998703	0	0	0.18499996	0.0005573142	-0.0005259562	0.9998703	-1.7804375e-13	1.798806e-15	2.7668799e-19	-1.7742299e-13	0.0011145538	-0.0010518421	0.9997406	7.456203e-08	-7.036678e-08	1
0	0.00056624366	-0.0005343944	0.99986774	0	0	0.18000017	0.00056624366	-0.0005343944	0.99986774	-1.7804375e-13	1.798797e-15	2.7975507e-19	-1.7739114e-13	0.0011324115	-0.0010687173	0.9997355	7.576011e-08	-7.149893e-08	1
0	0.0005754717	-0.00054311455	0.9998651	0	0	0.17499986	0.0005754717	-0.00054311455	0.9998651	-1.7804375e-13	1.7987875e-15	2.828928e-19	-1.773593e-13	0.0011508665	-0.0010861566	0.99973017	7.699825e-08	-7.266892e-08	1
0	0.00058500486	-0.0005521235	0.9998623	0	0	0.17000006	0.00058500486	-0.00055212347	0.9998623	-1.7804375e-13	1.798778e-15	2.8610407e-19	-1.7732746e-13	0.0011699315	-0.0011041733	0.9997247	7.827733e-08	-7.387766e-08	1
0	0.0005948523	-0.00056143	0.9998595	0	0	0.1650002	0.0005948523	-0.00056143	0.9998595	-1.7804375e-13	1.7987678e-15	2.8939126e-19	-1.7729561e-13	0.001189625	-0.0011227849	0.999719	7.9598564e-08	-7.5126316e-08	1
0	0.00060503115	-0.0005710515	0.9998566	0	0	0.15999989	0.0006050312	-0.0005710515	0.9998566	-1.7804375e-13	1.7987577e-15	2.9275796e-19	-1.7726376e-13	0.0012099815	-0.0011420265	0.9997132	8.096426e-08	-7.641724e-08	1
0	0.0006155808	-0.0005810222	0.9998535	0	0	0.15500008	0.0006155808	-0.0005810222	0.99985355	-1.7804375e-13	1.7987469e-15	2.9620637e-19	-1.7723193e-13	0.0012310793	-0.0011619667	0.999707	8.2379735e-08	-7.775502e-08	1
0	0.0006264942	-0.00059133826	0.99985033	0	0	0.14999981	0.0006264942	-0.0005913382	0.99985033	-1.7804372e-13	1.7987359e-15	2.9974068e-19	-1.7720007e-13	0.0012529043	-0.0011825972	0.9997006	8.3843986e-08	-7.913913e-08	1
0	0.00063780346	-0.0006020289	0.99984705	0	0	0.14500023	0.0006378035	-0.00060202886	0.99984705	-1.7804374e-13	1.7987242e-15	3.0336366e-19	-1.7716823e-13	0.0012755216	-0.0012039772	0.9996941	8.536137e-08	-8.0573514e-08	1
0	0.00064952765	-0.00061311235	0.99984366	0	0	0.14000009	0.00064952765	-0.00061311235	0.99984366	-1.7804372e-13	1.7987124e-15	3.0707943e-19	-1.7713635e-13	0.0012989684	-0.0012261425	0.9996872	8.693443e-08	-8.206059e-08	1
0	0.0006616914	-0.0006246116	0.9998401	0	0	0.13500017	0.0006616914	-0.0006246116	0.9998401	-1.7804371e-13	1.7986999e-15	3.1089141e-19	-1.7710452e-13	0.0013232942	-0.0012491397	0.99968004	8.8566445e-08	-8.360346e-08	1
0	0.0006743206	-0.0006365521	0.99983644	0	0	0.13000007	0.0006743206	-0.0006365521	0.99983644	-1.7804368e-13	1.7986872e-15	3.148043e-19	-1.7707266e-13	0.0013485509	-0.001273019	0.9996728	9.026093e-08	-8.5205535e-08	1
0	0.00068742654	-0.00064894505	0.9998325	0	0	0.125	0.0006874264	-0.00064894505	0.9998325	-1.7804368e-13	1.7986734e-15	3.1882214e-19	-1.7704081e-13	0.001374761	-0.0012978031	0.999665	9.201936e-08	-8.686831e-08	1
0	0.0007010732	-0.0006618492	0.9998285	0	0	0.11999989	0.00070107327	-0.0006618492	0.9998285	-1.7804368e-13	1.7986596e-15	3.2294982e-19	-1.7700897e-13	0.0014020526	-0.0013236097	0.99965703	9.385037e-08	-8.859966e-08	1
0	0.0007152709	-0.0006752752	0.9998243	0	0	0.11499984	0.0007152709	-0.0006752752	0.99982435	-1.7804367e-13	1.798645e-15	3.2719183e-19	-1.7697713e-13	0.0014304459	-0.0013504599	0.9996486	9.575529e-08	-9.040106e-08	1
0	0.00073003594	-0.0006892403	0.99982	0	0	0.10999988	0.00073003594	-0.0006892403	0.99982	-1.7804366e-13	1.7986296e-15	3.3155392e-19	-1.7694529e-13	0.0014599741	-0.0013783884	0.99964	9.7736326e-08	-9.2274774e-08	1
0	0.0007454349	-0.0007038048	0.99981546	0	0	0.10499983	0.0007454349	-0.0007038048	0.99981546	-1.7804366e-13	1.7986137e-15	3.3604135e-19	-1.7691344e-13	0.00149077	-0.0014075154	0.9996309	9.980245e-08	-9.422891e-08	1
0	0.0007614922	-0.0007189939	0.9998107	0	0	0.10000009	0.0007614923	-0.00071899395	0.9998107	-1.7804366e-13	1.798597e-15	3.4066025e-19	-1.7688161e-13	0.0015228826	-0.0014378915	0.9996214	1.01956886e-07	-9.6266874e-08	1
0	0.0007782665	-0.00073486246	0.9998057	0	0	0.09500003	0.0007782665	-0.00073486246	0.9998057	-1.7804364e-13	1.7985794e-15	3.4541718e-19	-1.7684976e-13	0.0015564286	-0.0014696264	0.99961144	1.042075e-07	-9.839597e-08	1
0	0.0007957769	-0.0007514295	0.9998005	0	0	0.090000086	0.0007957769	-0.0007514295	0.9998005	-1.7804364e-13	1.7985614e-15	3.503186e-19	-1.7681792e-13	0.0015914475	-0.0015027585	0.999601	1.0655693e-07	-1.0061879e-07	1
0	0.00081410166	-0.0007687691	0.9997951	0	0	0.08500003	0.00081410166	-0.0007687692	0.99979514	-1.7804362e-13	1.7985421e-15	3.553723e-19	-1.7678609e-13	0.0016280944	-0.0015374355	0.99959016	1.0901559e-07	-1.02945286e-07	1
0	0.00083328946	-0.000786927	0.99978936	0	0	0.079999946	0.00083328946	-0.000786927	0.9997894	-1.7804359e-13	1.7985222e-15	3.6058605e-19	-1.7675421e-13	0.0016664674	-0.0015737487	0.9995787	1.1159005e-07	-1.0538156e-07	1
0	0.00085340434	-0.0008059634	0.9997834	0	0	0.074999906	0.00085340434	-0.0008059634	0.99978334	-1.7804359e-13	1.798501e-15	3.6596812e-19	-1.7672238e-13	0.0017066943	-0.0016118189	0.99956673	1.14288895e-07	-1.07935705e-07	1
0	0.0008744805	-0.00082591444	0.9997771	0	0	0.070000045	0.0008744805	-0.00082591444	0.9997771	-1.7804357e-13	1.7984788e-15	3.7152758e-19	-1.7669053e-13	0.001748844	-0.0016517183	0.99955404	1.1711673e-07	-1.1061256e-07	1
0	0.00089663075	-0.0008468837	0.9997704	0	0	0.065000035	0.00089663075	-0.0008468837	0.9997704	-1.7804355e-13	1.7984555e-15	3.7727504e-19	-1.7665868e-13	0.0017931412	-0.0016936539	0.9995408	1.2008866e-07	-1.1342601e-07	1
0	0.0009200124	-0.00086901925	0.99976337	0	0	0.059999947	0.0009200124	-0.00086901925	0.9997635	-1.7804353e-13	1.798431e-15	3.8322053e-19	-1.7662683e-13	0.0018399016	-0.0017379221	0.99952686	1.2322583e-07	-1.16396016e-07	1
0	0.0009445858	-0.00089228794	0.99975604	0	0	0.05499994	0.0009445858	-0.00089228794	0.99975604	-1.7804352e-13	1.7984051e-15	3.8937568e-19	-1.7659501e-13	0.001889045	-0.0017844563	0.99951214	1.2652288e-07	-1.19518e-07	1
0	0.00097050524	-0.0009168349	0.9997483	0	0	0.050000045	0.0009705052	-0.000916835	0.9997483	-1.780435e-13	1.7983778e-15	3.9575309e-19	-1.7656316e-13	0.0019408804	-0.0018335471	0.9994965	1.3000056e-07	-1.2281153e-07	1
0	0.0009978536	-0.00094273884	0.99974	0	0	0.045000043	0.0009978537	-0.00094273884	0.99974	-1.7804348e-13	1.7983488e-15	4.0236541e-19	-1.7653132e-13	0.0019955735	-0.0018853515	0.9994801	1.3366996e-07	-1.2628712e-07	1
