# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7814926e-13	2.221299e-15	-0	-1.8300585e-13	0	0	1	0	0	1
0	0.00017247073	-0.00016265447	0.9999713	0	0	0.94999886	0.00017247073	-0.00016265447	0.9999713	-1.7814976e-13	2.221182e-15	1.1683219e-19	-1.8265226e-13	0.00034491855	-0.0003252873	0.99994254	2.292239e-08	-2.1617751e-08	1
0	0.00018146093	-0.00017113694	0.9999691	0	0	0.900001	0.00018146093	-0.00017113696	0.9999691	-1.7814977e-13	2.2211722e-15	1.2257395e-19	-1.8229839e-13	0.00036289773	-0.00034225112	0.99993813	2.4129266e-08	-2.2756462e-08	1
0	0.00019143723	-0.00018054992	0.9999667	0	0	0.849999	0.00019143723	-0.00018054992	0.9999666	-1.7814977e-13	2.221162e-15	1.2885127e-19	-1.8194449e-13	0.00038284896	-0.00036107583	0.9999333	2.5468532e-08	-2.4020107e-08	1
0	0.00020257507	-0.00019105898	0.9999639	0	0	0.8000007	0.00020257509	-0.00019105898	0.9999639	-1.7814979e-13	2.2211504e-15	1.3574243e-19	-1.8159061e-13	0.00040512322	-0.00038209252	0.99992776	2.6963749e-08	-2.54309e-08	1
0	0.00021508802	-0.00020286537	0.99996066	0	0	0.75	0.00021508802	-0.00020286538	0.9999608	-1.7814981e-13	2.221137e-15	1.4334196e-19	-1.8123674e-13	0.00043014743	-0.00040570373	0.9999214	2.8643584e-08	-2.7015876e-08	1
0	0.00022924734	-0.00021622503	0.9999571	0	0	0.69999945	0.00022924734	-0.00021622503	0.9999571	-1.7814981e-13	2.2211216e-15	1.5176505e-19	-1.8088288e-13	0.00045846408	-0.00043242128	0.9999142	3.054445e-08	-2.8809389e-08	1
0	0.00024540088	-0.00023146602	0.9999529	0	0	0.6500008	0.00024540088	-0.00023146602	0.9999529	-1.7814987e-13	2.2211033e-15	1.6115418e-19	-1.8052901e-13	0.00049076905	-0.0004629012	0.99990577	3.2713054e-08	-3.0855485e-08	1
0	0.00026400195	-0.00024901572	0.9999479	0	0	0.59999925	0.00026400198	-0.00024901572	0.9999479	-1.7814987e-13	2.2210824e-15	1.7168736e-19	-1.8017512e-13	0.00052796875	-0.00049799826	0.99989593	3.5210263e-08	-3.3211546e-08	1
0	0.00028565258	-0.00026944137	0.99994206	0	0	0.5499998	0.00028565258	-0.00026944137	0.99994206	-1.7814987e-13	2.2210572e-15	1.8359064e-19	-1.7982123e-13	0.00057126704	-0.0005388468	0.9998842	3.8116895e-08	-3.5953715e-08	1
0	0.0003111692	-0.00029351228	0.9999351	0	0	0.5	0.0003111692	-0.00029351228	0.9999351	-1.7814988e-13	2.2210271e-15	1.9715575e-19	-1.7946736e-13	0.0006222968	-0.0005869853	0.99987	4.154257e-08	-3.9185302e-08	1
0	0.00034168788	-0.0003222977	0.99992645	0	0	0.4500005	0.00034168788	-0.0003222977	0.9999265	-1.7814988e-13	2.22099e-15	2.1276694e-19	-1.7911349e-13	0.0006833301	-0.00064455235	0.99985284	4.5639805e-08	-4.3049848e-08	1
0	0.0003788371	-0.00035733043	0.99991584	0	0	0.40000036	0.00037883708	-0.00035733043	0.99991584	-1.7814988e-13	2.2209445e-15	2.3094198e-19	-1.7875962e-13	0.0007576235	-0.0007146131	0.99983156	5.0627232e-08	-4.7753144e-08	1
0	0.000425044	-0.00040089182	0.9999023	0	0	0.34999973	0.00042504404	-0.00040089182	0.9999023	-1.7814988e-13	2.2208867e-15	2.5239889e-19	-1.7840575e-13	0.00085003127	-0.00080172997	0.9998046	5.683074e-08	-5.3601493e-08	1
0	0.00048407877	-0.0004565224	0.9998847	0	0	0.29999962	0.00048407877	-0.0004565224	0.9998847	-1.7814988e-13	2.220811e-15	2.7816717e-19	-1.7805191e-13	0.0009680927	-0.00091298367	0.99976945	6.475647e-08	-6.107024e-08	1
0	0.0005621521	-0.00053004455	0.9998609	0	0	0.25	0.0005621521	-0.00053004455	0.9998609	-1.7814984e-13	2.2207082e-15	3.0978834e-19	-1.7769805e-13	0.001124229	-0.0010600181	0.9997219	7.52383e-08	-7.0941084e-08	1
0	0.0006833619	-0.0006440572	0.9998233	0	0	0.19499981	0.0006833619	-0.0006440572	0.9998233	-1.7814977e-13	2.2205458e-15	3.542838e-19	-1.7730882e-13	0.0013666322	-0.0012880282	0.99964666	9.1511474e-08	-8.6248164e-08	1
0	0.0006970179	-0.0006568915	0.999819	0	0	0.19000006	0.0006970179	-0.0006568915	0.999819	-1.7814976e-13	2.220527e-15	3.5899494e-19	-1.7727342e-13	0.0013939426	-0.0013136951	0.9996381	9.3344894e-08	-8.7971266e-08	1
0	0.0007112473	-0.0006702614	0.9998145	0	0	0.18499996	0.0007112473	-0.0006702614	0.9998145	-1.7814976e-13	2.2205079e-15	3.6383942e-19	-1.7723805e-13	0.0014223993	-0.0013404328	0.9996291	9.525529e-08	-8.9766274e-08	1
0	0.00072605745	-0.0006841754	0.99980986	0	0	0.18000017	0.00072605745	-0.0006841754	0.9998099	-1.7814976e-13	2.2204876e-15	3.688233e-19	-1.7720268e-13	0.0014520176	-0.0013682591	0.9996197	9.7243635e-08	-9.163436e-08	1
0	0.00074149703	-0.0006986772	0.99980503	0	0	0.17499986	0.00074149715	-0.00069867715	0.99980503	-1.7814974e-13	2.2204664e-15	3.7395256e-19	-1.771673e-13	0.0014828949	-0.0013972608	0.99960995	9.931651e-08	-9.358132e-08	1
0	0.0007576137	-0.00071381254	0.9997999	0	0	0.17000006	0.00075761374	-0.00071381254	0.9997999	-1.7814974e-13	2.2204444e-15	3.7923483e-19	-1.7713192e-13	0.0015151259	-0.0014275294	0.99959975	1.0148029e-07	-9.561337e-08	1
0	0.0007744381	-0.00072960823	0.9997946	0	0	0.1650002	0.0007744381	-0.00072960823	0.9997946	-1.7814973e-13	2.220421e-15	3.8467688e-19	-1.7709652e-13	0.0015487724	-0.0014591187	0.99958915	1.03739076e-07	-9.773409e-08	1
0	0.000792034	-0.0007461247	0.99978894	0	0	0.15999989	0.00079203397	-0.0007461247	0.99978894	-1.781497e-13	2.2203971e-15	3.9028757e-19	-1.7706114e-13	0.0015839618	-0.0014921494	0.99957794	1.0610144e-07	-9.9951556e-08	1
0	0.0008104326	-0.0007633895	0.99978316	0	0	0.15500008	0.0008104326	-0.0007633895	0.9997832	-1.7814968e-13	2.2203717e-15	3.9607458e-19	-1.7702574e-13	0.0016207567	-0.0015266768	0.99956626	1.085716e-07	-1.022695e-07	1
0	0.00082969415	-0.0007814608	0.999777	0	0	0.14999981	0.00082969415	-0.0007814608	0.999777	-1.7814968e-13	2.220345e-15	4.0204824e-19	-1.7699038e-13	0.0016592771	-0.0015628168	0.99955404	1.1115759e-07	-1.04695715e-07	1
0	0.00084995653	-0.00080046407	0.9997704	0	0	0.14500023	0.00084995653	-0.00080046407	0.9997704	-1.7814966e-13	2.2203169e-15	4.0821852e-19	-1.76955e-13	0.0016997993	-0.0016008208	0.999541	1.13877945e-07	-1.0724709e-07	1
0	0.000871205	-0.00082038646	0.9997637	0	0	0.14000009	0.00087120506	-0.00082038646	0.9997637	-1.7814965e-13	2.2202874e-15	4.1459556e-19	-1.7691962e-13	0.0017422931	-0.001640663	0.99952745	1.167307e-07	-1.09921835e-07	1
0	0.0008935187	-0.000841301	0.9997566	0	0	0.13500017	0.00089351874	-0.000841301	0.9997566	-1.7814964e-13	2.2202563e-15	4.211905e-19	-1.7688424e-13	0.0017869179	-0.0016824893	0.99951315	1.1972648e-07	-1.1272979e-07	1
0	0.0009170166	-0.00086331833	0.99974906	0	0	0.13000007	0.0009170165	-0.0008633184	0.99974906	-1.7814964e-13	2.2202233e-15	4.2801727e-19	-1.7684886e-13	0.0018339101	-0.0017265211	0.99949807	1.2288122e-07	-1.1568582e-07	1
