# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	1.7992557e-15	-0	-1.8261403e-13	0	0	1	0	0	1
0	0.00016306662	-0.00015376818	0.9999747	0	0	0.94999886	0.00016306662	-0.00015376818	0.99997467	-1.7804366e-13	1.7991687e-15	1.01376464e-19	-1.8229582e-13	0.00032611162	-0.0003075159	0.9999493	2.1666708e-08	-2.0431221e-08	1
0	0.0001709728	-0.00016122684	0.9999728	0	0	0.900001	0.0001709728	-0.00016122687	0.9999729	-1.7804367e-13	1.7991624e-15	1.0599374e-19	-1.8197733e-13	0.00034192292	-0.00032243226	0.9999458	2.2727395e-08	-2.1431873e-08	1
0	0.00017968348	-0.00016944467	0.9999709	0	0	0.849999	0.00017968348	-0.00016944467	0.9999709	-1.7804367e-13	1.7991558e-15	1.1100967e-19	-1.8165882e-13	0.00035934307	-0.0003388668	0.9999418	2.3896023e-08	-2.253437e-08	1
0	0.00018932916	-0.00017854474	0.99996865	0	0	0.8000007	0.00018932916	-0.00017854474	0.99996865	-1.7804368e-13	1.7991475e-15	1.1647796e-19	-1.8134034e-13	0.00037863312	-0.0003570657	0.99993736	2.5190104e-08	-2.3755247e-08	1
0	0.00020006942	-0.00018867756	0.9999662	0	0	0.75	0.00020006942	-0.00018867757	0.9999662	-1.7804371e-13	1.7991393e-15	1.2246277e-19	-1.8102185e-13	0.0004001122	-0.00037733	0.99993235	2.6631046e-08	-2.5114687e-08	1
0	0.00021209977	-0.00020002769	0.99996334	0	0	0.69999945	0.00021209978	-0.00020002769	0.99996334	-1.7804371e-13	1.7991295e-15	1.2904091e-19	-1.8070335e-13	0.00042417127	-0.00040002877	0.9999266	2.8245077e-08	-2.6637462e-08	1
0	0.00022566879	-0.00021282965	0.99996006	0	0	0.6500008	0.00022566879	-0.00021282965	0.99996006	-1.7804374e-13	1.7991179e-15	1.3630595e-19	-1.8038488e-13	0.00045130748	-0.00042563095	0.99992	3.0065557e-08	-2.8355029e-08	1
0	0.00024109324	-0.00022738226	0.99995625	0	0	0.59999925	0.00024109324	-0.00022738228	0.99995625	-1.7804375e-13	1.7991052e-15	1.4437234e-19	-1.800664e-13	0.0004821543	-0.00045473425	0.99991244	3.213499e-08	-3.0307483e-08	1
0	0.00025877854	-0.00024406805	0.99995184	0	0	0.5499998	0.00025877854	-0.00024406805	0.99995184	-1.7804375e-13	1.7990897e-15	1.5338263e-19	-1.7974789e-13	0.0005175226	-0.00048810357	0.9999037	3.4507764e-08	-3.254615e-08	1
0	0.00027926237	-0.00026339415	0.9999466	0	0	0.5	0.00027926237	-0.00026339415	0.9999467	-1.7804376e-13	1.799072e-15	1.6351593e-19	-1.794294e-13	0.0005584875	-0.00052675314	0.99989325	3.7256026e-08	-3.5139074e-08	1
0	0.0003032641	-0.0002860389	0.9999404	0	0	0.4500005	0.0003032641	-0.00028603894	0.9999404	-1.7804376e-13	1.7990501e-15	1.7500165e-19	-1.7911092e-13	0.00060648774	-0.0005720397	0.9998808	4.047628e-08	-3.817727e-08	1
0	0.00033177427	-0.00031293684	0.99993294	0	0	0.40000036	0.00033177427	-0.00031293684	0.99993294	-1.7804376e-13	1.7990243e-15	1.8813904e-19	-1.7879242e-13	0.0006635043	-0.0006258319	0.9998659	4.4301448e-08	-4.178613e-08	1
0	0.00036620433	-0.00034541782	0.9999237	0	0	0.34999973	0.00036620433	-0.00034541782	0.9999237	-1.7804376e-13	1.7989923e-15	2.0332644e-19	-1.7847393e-13	0.0007323597	-0.00069078954	0.9998474	4.8920906e-08	-4.6144077e-08	1
0	0.00040859403	-0.00038540442	0.99991214	0	0	0.29999962	0.00040859397	-0.00038540442	0.99991214	-1.7804378e-13	1.7989519e-15	2.2110817e-19	-1.7815546e-13	0.0008171334	-0.0007707573	0.9998242	5.4608318e-08	-5.1509076e-08	1
0	0.0004620772	-0.00043585047	0.99989724	0	0	0.25	0.0004620772	-0.00043585044	0.99989724	-1.7804376e-13	1.7989e-15	2.4225287e-19	-1.7783698e-13	0.00092409266	-0.00087164267	0.9997945	6.178418e-08	-5.827745e-08	1
0	0.0005397826	-0.000509127	0.99987525	0	0	0.19499981	0.0005397826	-0.000509127	0.99987525	-1.7804376e-13	1.798823e-15	2.7075493e-19	-1.7748669e-13	0.001079493	-0.0010181858	0.99975044	7.220998e-08	-6.8109046e-08	1
0	0.0005481697	-0.000517035	0.9998728	0	0	0.19000006	0.00054816966	-0.000517035	0.9998728	-1.7804376e-13	1.7988149e-15	2.7368783e-19	-1.7745484e-13	0.001096266	-0.001034001	0.9997456	7.3335286e-08	-6.917009e-08	1
0	0.00055681216	-0.00052518334	0.99987036	0	0	0.18499996	0.00055681216	-0.00052518334	0.99987036	-1.7804376e-13	1.7988062e-15	2.7668662e-19	-1.7742299e-13	0.0011135498	-0.0010502965	0.9997406	7.449486e-08	-7.026336e-08	1
0	0.00056573324	-0.00053359364	0.9998678	0	0	0.18000017	0.00056573324	-0.00053359364	0.9998678	-1.7804375e-13	1.7987973e-15	2.7975352e-19	-1.7739114e-13	0.0011313906	-0.0010671159	0.9997356	7.5691794e-08	-7.139178e-08	1
0	0.0005749446	-0.00054227776	0.9998651	0	0	0.17499986	0.00057494466	-0.00054227776	0.9998652	-1.7804376e-13	1.7987878e-15	2.8289112e-19	-1.773593e-13	0.0011498124	-0.001084483	0.9997301	7.692771e-08	-7.2556944e-08	1
0	0.00058445986	-0.0005512479	0.9998623	0	0	0.17000006	0.0005844599	-0.0005512479	0.9998623	-1.7804375e-13	1.798778e-15	2.8610213e-19	-1.7732746e-13	0.0011688416	-0.0011024221	0.9997247	7.820439e-08	-7.3760496e-08	1
0	0.0005942807	-0.0005605061	0.9998595	0	0	0.1650002	0.0005942807	-0.0005605061	0.9998595	-1.7804375e-13	1.7987683e-15	2.8938916e-19	-1.7729561e-13	0.0011884817	-0.0011209372	0.999719	7.952205e-08	-7.500267e-08	1
0	0.00060446834	-0.0005701087	0.9998566	0	0	0.15999989	0.00060446834	-0.00057010865	0.9998566	-1.7804375e-13	1.7987577e-15	2.927558e-19	-1.7726376e-13	0.0012088557	-0.0011401412	0.9997132	8.088894e-08	-7.629107e-08	1
0	0.0006149908	-0.0005800273	0.9998535	0	0	0.15500008	0.0006149908	-0.00058002735	0.99985355	-1.7804375e-13	1.798747e-15	2.9620412e-19	-1.7723193e-13	0.0012298992	-0.0011599769	0.99970704	8.230076e-08	-7.762187e-08	1
0	0.00062588847	-0.0005902988	0.99985033	0	0	0.14999981	0.00062588847	-0.00059029885	0.9998504	-1.7804374e-13	1.7987359e-15	2.9973802e-19	-1.7720005e-13	0.0012516932	-0.0011805187	0.99970067	8.376291e-08	-7.900001e-08	1
0	0.0006371805	-0.0006009416	0.99984705	0	0	0.14500023	0.0006371805	-0.0006009416	0.99984705	-1.7804374e-13	1.7987244e-15	3.0336105e-19	-1.7716823e-13	0.0012742758	-0.0012018029	0.9996941	8.527799e-08	-8.042799e-08	1
0	0.00064888614	-0.00061197346	0.9998437	0	0	0.14000009	0.0006488861	-0.00061197346	0.99984366	-1.7804372e-13	1.7987124e-15	3.0707648e-19	-1.771364e-13	0.0012976853	-0.001223865	0.9996872	8.6848544e-08	-8.1908155e-08	1
0	0.00066103024	-0.00062341837	0.9998401	0	0	0.13500017	0.00066103024	-0.00062341837	0.9998401	-1.7804371e-13	1.7986999e-15	3.1088857e-19	-1.7710452e-13	0.001321972	-0.0012467534	0.99968016	8.847795e-08	-8.344374e-08	1
0	0.00067364104	-0.00063530175	0.99983644	0	0	0.13000007	0.00067364104	-0.0006353017	0.99983644	-1.7804368e-13	1.798687e-15	3.1480137e-19	-1.7707266e-13	0.001347192	-0.0012705185	0.9996728	9.016996e-08	-8.503816e-08	1
0	0.00068673945	-0.00064764405	0.9998325	0	0	0.125	0.00068673945	-0.00064764405	0.9998325	-1.7804368e-13	1.7986738e-15	3.1881909e-19	-1.7704081e-13	0.0013733871	-0.0012952015	0.99966514	9.192739e-08	-8.6694165e-08	1
0	0.0007003547	-0.0006604727	0.99982846	0	0	0.11999989	0.0007003547	-0.0006604727	0.99982846	-1.7804368e-13	1.7986599e-15	3.2294638e-19	-1.7700897e-13	0.0014006156	-0.0013208572	0.99965703	9.375417e-08	-8.8415405e-08	1
0	0.00071451685	-0.0006738162	0.99982435	0	0	0.11499984	0.0007145169	-0.0006738162	0.99982435	-1.7804367e-13	1.798645e-15	3.271883e-19	-1.7697713e-13	0.0014289382	-0.0013475422	0.9996487	9.565434e-08	-9.020573e-08	1
0	0.0007292681	-0.00068771356	0.99982	0	0	0.10999988	0.0007292681	-0.0006877135	0.99982	-1.7804366e-13	1.7986298e-15	3.3155012e-19	-1.7694528e-13	0.0014584386	-0.0013753352	0.99964	9.7633546e-08	-9.2070366e-08	1
0	0.00074464065	-0.00070219394	0.99981546	0	0	0.10499983	0.0007446407	-0.00070219394	0.99981546	-1.7804366e-13	1.7986137e-15	3.3603713e-19	-1.7691344e-13	0.0014891818	-0.0014042938	0.9996309	9.9696095e-08	-9.401323e-08	1
0	0.00076067843	-0.00071730156	0.9998107	0	0	0.10000009	0.00076067843	-0.0007173016	0.9998107	-1.7804366e-13	1.7985972e-15	3.406561e-19	-1.7688161e-13	0.0015212549	-0.0014345071	0.9996214	1.0184792e-07	-9.604025e-08	1
0	0.00077739	-0.00073304365	0.99980575	0	0	0.09500003	0.00077739	-0.00073304365	0.99980575	-1.7804364e-13	1.7985796e-15	3.4541284e-19	-1.7684975e-13	0.0015546759	-0.001465989	0.9996115	1.04090134e-07	-9.815241e-08	1
0	0.00079490995	-0.0007495422	0.9998005	0	0	0.090000086	0.00079490995	-0.00074954226	0.9998005	-1.7804364e-13	1.7985614e-15	3.5031414e-19	-1.7681792e-13	0.0015897134	-0.0014989839	0.9996011	1.0644082e-07	-1.0036607e-07	1
0	0.0008132097	-0.0007667752	0.9997951	0	0	0.08500003	0.0008132097	-0.0007667752	0.9997951	-1.7804362e-13	1.7985421e-15	3.5536754e-19	-1.7678608e-13	0.0016263106	-0.0015334479	0.99959016	1.0889613e-07	-1.0267828e-07	1
0	0.00083235826	-0.0007848067	0.9997894	0	0	0.079999946	0.00083235826	-0.0007848067	0.9997894	-1.7804362e-13	1.7985222e-15	3.6058113e-19	-1.7675424e-13	0.0016646052	-0.0015695082	0.9995787	1.1146533e-07	-1.05097584e-07	1
0	0.00085245044	-0.00080372335	0.99978334	0	0	0.074999906	0.0008524504	-0.00080372335	0.99978334	-1.7804359e-13	1.7985008e-15	3.65963e-19	-1.7672238e-13	0.0017047867	-0.001607339	0.99956685	1.1416113e-07	-1.076357e-07	1
0	0.0008735165	-0.00082355604	0.9997771	0	0	0.070000045	0.0008735165	-0.000823556	0.9997771	-1.7804356e-13	1.798479e-15	3.7152274e-19	-1.7669052e-13	0.001746916	-0.0016470017	0.99955416	1.169876e-07	-1.10296696e-07	1
0	0.0008956617	-0.0008444018	0.9997704	0	0	0.065000035	0.00089566177	-0.0008444018	0.9997704	-1.7804355e-13	1.7984555e-15	3.7726966e-19	-1.7665868e-13	0.0017912035	-0.0016886904	0.9995408	1.1995888e-07	-1.1309361e-07	1
0	0.0009189587	-0.0008663288	0.9997635	0	0	0.059999947	0.0009189587	-0.0008663288	0.9997635	-1.7804353e-13	1.7984312e-15	3.832146e-19	-1.7662683e-13	0.0018377942	-0.0017325415	0.99952686	1.2308467e-07	-1.1603564e-07	1
0	0.00094349636	-0.00088942074	0.9997561	0	0	0.05499994	0.00094349636	-0.00088942074	0.9997561	-1.7804353e-13	1.7984051e-15	3.8936979e-19	-1.76595e-13	0.0018868663	-0.0017787223	0.99951214	1.2637693e-07	-1.19133944e-07	1
0	0.0009693578	-0.00091375515	0.9997483	0	0	0.050000045	0.0009693578	-0.00091375504	0.9997483	-1.780435e-13	1.7983778e-15	3.9574675e-19	-1.7656316e-13	0.0019385858	-0.0018273878	0.9994966	1.2984682e-07	-1.2239894e-07	1
