# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	2.221299e-15	-0	-1.8289977e-13	0	0	1	0	0	1
0	0.0001671934	-0.00015766965	0.999974	0	0	0.94999886	0.0001671934	-0.00015766965	0.99997395	-1.7804366e-13	2.2211923e-15	1.0289498e-19	-1.8254617e-13	0.00033436457	-0.00031531835	0.9999478	2.2221002e-08	-2.0955238e-08	1
0	0.00017648918	-0.0001664397	0.99997187	0	0	0.900001	0.00017648918	-0.0001664397	0.99997187	-1.7804367e-13	2.2211838e-15	1.0820967e-19	-1.8219229e-13	0.0003529549	-0.00033285725	0.99994373	2.3468157e-08	-2.213186e-08	1
0	0.00018687862	-0.00017624158	0.9999695	0	0	0.849999	0.00018687862	-0.00017624158	0.9999695	-1.7804368e-13	2.2211734e-15	1.140492e-19	-1.818384e-13	0.0003737324	-0.00035245973	0.99993896	2.4862059e-08	-2.3446932e-08	1
0	0.00019856746	-0.00018726935	0.99996686	0	0	0.8000007	0.00019856746	-0.00018726935	0.99996686	-1.7804371e-13	2.2211622e-15	1.2049524e-19	-1.8148455e-13	0.0003971085	-0.00037451374	0.9999336	2.6430312e-08	-2.4926482e-08	1
0	0.00021181624	-0.00019976868	0.99996364	0	0	0.75	0.00021181625	-0.00019976868	0.9999637	-1.7804371e-13	2.221149e-15	1.2764788e-19	-1.8113065e-13	0.00042360427	-0.00039951078	0.9999274	2.8207872e-08	-2.6603484e-08	1
0	0.0002269577	-0.00021405348	0.99996006	0	0	0.69999945	0.00022695771	-0.00021405348	0.99996006	-1.7804374e-13	2.2211336e-15	1.3563066e-19	-1.8077678e-13	0.00045388512	-0.00042807843	0.9999201	3.0239377e-08	-2.8520056e-08	1
0	0.00024442983	-0.00023053636	0.99995583	0	0	0.6500008	0.00024442983	-0.00023053636	0.99995583	-1.7804375e-13	2.2211156e-15	1.4459876e-19	-1.8042291e-13	0.0004888271	-0.00046104196	0.9999116	3.258361e-08	-3.0731556e-08	1
0	0.00026481334	-0.00024976474	0.99995077	0	0	0.59999925	0.00026481334	-0.00024976477	0.99995077	-1.7804375e-13	2.2210936e-15	1.5474971e-19	-1.8006903e-13	0.00052959134	-0.0004994962	0.9999015	3.5318475e-08	-3.3311437e-08	1
0	0.00028890325	-0.0002724874	0.9999447	0	0	0.5499998	0.00028890325	-0.0002724874	0.9999447	-1.7804376e-13	2.2210678e-15	1.6633951e-19	-1.7971516e-13	0.000577768	-0.00054493843	0.9998894	3.8550656e-08	-3.636017e-08	1
