# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	2.221299e-15	-0	-1.8289977e-13	0	0	1	0	0	1
0	0.0001671934	-0.00015766965	0.99997395	0	0	0.94999886	0.00016719342	-0.00015766965	0.99997395	-1.7804366e-13	2.2211923e-15	1.02894974e-19	-1.8254617e-13	0.0003343646	-0.00031531835	0.9999478	2.2221002e-08	-2.0955238e-08	1
0	0.00017648918	-0.0001664397	0.99997187	0	0	0.900001	0.00017648918	-0.0001664397	0.99997187	-1.7804367e-13	2.2211838e-15	1.08209674e-19	-1.8219229e-13	0.0003529549	-0.00033285725	0.99994373	2.3468157e-08	-2.213186e-08	1
0	0.00018687862	-0.00017624159	0.99996954	0	0	0.849999	0.00018687862	-0.00017624158	0.9999695	-1.7804368e-13	2.2211734e-15	1.140492e-19	-1.818384e-13	0.0003737324	-0.00035245973	0.9999391	2.4862059e-08	-2.3446932e-08	1
0	0.00019856746	-0.00018726932	0.9999668	0	0	0.8000007	0.00019856746	-0.00018726935	0.9999668	-1.7804371e-13	2.2211624e-15	1.2049524e-19	-1.8148455e-13	0.0003971085	-0.00037451374	0.9999336	2.6430312e-08	-2.4926479e-08	1
0	0.00021181625	-0.00019976869	0.99996376	0	0	0.75	0.00021181624	-0.00019976869	0.99996376	-1.7804371e-13	2.221149e-15	1.2764788e-19	-1.8113065e-13	0.00042360433	-0.00039951078	0.9999274	2.820787e-08	-2.6603484e-08	1
0	0.0002269577	-0.00021405348	0.99996006	0	0	0.69999945	0.00022695771	-0.00021405348	0.99996006	-1.7804374e-13	2.2211336e-15	1.3563066e-19	-1.807768e-13	0.00045388512	-0.0004280784	0.9999201	3.0239377e-08	-2.8520056e-08	1
0	0.00024442986	-0.00023053636	0.99995583	0	0	0.6500008	0.00024442983	-0.00023053636	0.99995583	-1.7804375e-13	2.2211152e-15	1.4459878e-19	-1.8042291e-13	0.00048882706	-0.000461042	0.9999116	3.258361e-08	-3.073155e-08	1
0	0.00026481334	-0.00024976474	0.99995077	0	0	0.59999925	0.00026481334	-0.00024976477	0.99995077	-1.7804375e-13	2.2210936e-15	1.5474971e-19	-1.8006903e-13	0.00052959134	-0.0004994962	0.9999015	3.531848e-08	-3.3311437e-08	1
0	0.0002889036	-0.00027248773	0.9999447	0	0	0.5499998	0.0002889036	-0.00027248776	0.9999447	-1.7804376e-13	2.2210678e-15	1.6633951e-19	-1.7971516e-13	0.00057776866	-0.0005449391	0.9998894	3.8550702e-08	-3.6360213e-08	1
0	0.00031781488	-0.00029975452	0.99993724	0	0	0.5	0.00031781488	-0.00029975455	0.99993724	-1.7804376e-13	2.2210358e-15	1.7970699e-19	-1.7936127e-13	0.0006355873	-0.00059946906	0.9998745	4.2429793e-08	-4.001867e-08	1
0	0.00035315193	-0.00033307532	0.99992806	0	0	0.4500005	0.00035315196	-0.00033307532	0.999928	-1.7804376e-13	2.2209964e-15	1.9531091e-19	-1.7900739e-13	0.0007062568	-0.00066610606	0.999856	4.717107e-08	-4.4489433e-08	1
0	0.0003973146	-0.0003747057	0.9999162	0	0	0.40000036	0.0003973146	-0.00037470568	0.99991626	-1.7804376e-13	2.2209452e-15	2.137913e-19	-1.7865352e-13	0.00079457613	-0.0007493613	0.99983233	5.3096542e-08	-5.007515e-08	1
0	0.00045409385	-0.0004282057	0.9999007	0	0	0.34999973	0.00045409388	-0.0004282057	0.9999007	-1.7804376e-13	2.2208785e-15	2.3607396e-19	-1.7829966e-13	0.00090812705	-0.00085635425	0.9998014	6.0714854e-08	-5.7253516e-08	1
0	0.00052980514	-0.00049949775	0.99987954	0	0	0.29999962	0.0005298051	-0.00049949775	0.99987966	-1.7804376e-13	2.2207878e-15	2.635588e-19	-1.7794582e-13	0.0010595394	-0.0009989287	0.9997592	7.08734e-08	-6.681917e-08	1
0	0.00063580344	-0.0005992028	0.9998495	0	0	0.25	0.00063580344	-0.00059920276	0.9998495	-1.7804372e-13	2.2206578e-15	2.9848833e-19	-1.7759196e-13	0.0012715218	-0.0011983253	0.99969906	8.509575e-08	-8.0197225e-08	1
0	0.0008151433	-0.0007675827	0.9997975	0	0	0.19499981	0.0008151433	-0.0007675827	0.9997976	-1.7804364e-13	2.2204323e-15	3.5024e-19	-1.7720276e-13	0.0016301776	-0.0015350624	0.99959505	1.0915879e-07	-1.0278993e-07	1
0	0.00083660934	-0.00078770495	0.99979126	0	0	0.19000006	0.0008366094	-0.00078770495	0.99979126	-1.7804362e-13	2.220405e-15	3.559208e-19	-1.7716738e-13	0.0016731067	-0.0015753044	0.9995825	1.1203901e-07	-1.0548989e-07	1
0	0.00085921417	-0.000808891	0.99978465	0	0	0.18499996	0.0008592141	-0.000808891	0.99978465	-1.7804359e-13	2.2203764e-15	3.618058e-19	-1.7713198e-13	0.0017183131	-0.0016176737	0.9995693	1.1507203e-07	-1.0833258e-07	1
