# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	1.7992557e-15	-0	-1.8261403e-13	0	0	1	0	0	1
0	0.0001641466	-0.00015477795	0.9999744	0	0	0.94999886	0.0001641466	-0.00015477795	0.9999744	-1.7804366e-13	1.7991676e-15	1.0086473e-19	-1.8229582e-13	0.0003282918	-0.00030955457	0.9999488	1.4564937e-09	-1.3733702e-09	1
0	0.00017216083	-0.00016233826	0.9999726	0	0	0.900001	0.00017216083	-0.00016233826	0.9999727	-1.7804367e-13	1.7991615e-15	1.05455104e-19	-1.8197733e-13	0.00034432014	-0.00032467506	0.9999452	1.5282919e-09	-1.4410978e-09	1
0	0.00018099743	-0.00017067457	0.9999706	0	0	0.849999	0.00018099743	-0.00017067457	0.9999706	-1.7804367e-13	1.7991547e-15	1.1044158e-19	-1.8165882e-13	0.00036199324	-0.00034134762	0.99994123	1.6074551e-09	-1.5157824e-09	1
0	0.00019078855	-0.00017991175	0.9999684	0	0	0.8000007	0.00019078853	-0.00017991175	0.99996835	-1.7804368e-13	1.799147e-15	1.1587765e-19	-1.8134034e-13	0.00038157537	-0.0003598219	0.9999367	1.6951729e-09	-1.5985364e-09	1
0	0.00020170254	-0.00019020845	0.9999658	0	0	0.75	0.00020170254	-0.00019020845	0.9999658	-1.7804371e-13	1.799138e-15	1.2182682e-19	-1.8102185e-13	0.0004034033	-0.00038041524	0.9999316	1.79295e-09	-1.690782e-09	1
0	0.00021393779	-0.00020175225	0.9999629	0	0	0.69999945	0.00021393778	-0.00020175223	0.9999628	-1.7804371e-13	1.7991278e-15	1.2836564e-19	-1.8070335e-13	0.00042787363	-0.00040350272	0.99992573	1.9025639e-09	-1.7942037e-09	1
0	0.00022775297	-0.0002147873	0.9999595	0	0	0.6500008	0.00022775297	-0.00021478732	0.9999595	-1.7804374e-13	1.7991164e-15	1.3558683e-19	-1.8038488e-13	0.0004555039	-0.0004295727	0.99991906	2.026335e-09	-1.910981e-09	1
0	0.00024347375	-0.00022962119	0.9999557	0	0	0.59999925	0.00024347375	-0.00022962118	0.9999557	-1.7804375e-13	1.799103e-15	1.4360432e-19	-1.800664e-13	0.00048694536	-0.00045924028	0.99991137	2.1671769e-09	-2.0438802e-09	1
0	0.00026152443	-0.00024665453	0.9999511	0	0	0.5499998	0.00026152443	-0.00024665453	0.9999511	-1.7804375e-13	1.7990874e-15	1.5255936e-19	-1.7974789e-13	0.0005230465	-0.00049330684	0.9999023	2.3288946e-09	-2.1964832e-09	1
0	0.0002824639	-0.00026641533	0.9999458	0	0	0.5	0.0002824639	-0.0002664153	0.9999458	-1.7804376e-13	1.799069e-15	1.6263018e-19	-1.7942942e-13	0.0005649253	-0.0005328283	0.99989164	2.516495e-09	-2.3735232e-09	1
0	0.00030704626	-0.00028961588	0.9999395	0	0	0.4500005	0.00030704626	-0.00028961588	0.9999395	-1.7804376e-13	1.799047e-15	1.740445e-19	-1.7911092e-13	0.0006140898	-0.00057922926	0.99987894	2.7367335e-09	-2.5813833e-09	1
0	0.00033631353	-0.00031724086	0.99993175	0	0	0.40000036	0.00033631353	-0.00031724086	0.9999317	-1.7804376e-13	1.79902e-15	1.8709948e-19	-1.7879242e-13	0.0006726241	-0.0006344789	0.9998635	2.9989464e-09	-2.8288856e-09	1
0	0.00037174593	-0.00035068922	0.99992216	0	0	0.34999973	0.00037174593	-0.00035068922	0.99992216	-1.7804376e-13	1.798987e-15	2.0219077e-19	-1.7847393e-13	0.00074348855	-0.0007013753	0.9998445	3.3164025e-09	-3.128556e-09	1
0	0.00041550986	-0.00039200968	0.9999103	0	0	0.29999962	0.00041550986	-0.0003920097	0.9999103	-1.7804376e-13	1.7989455e-15	2.1985926e-19	-1.7815546e-13	0.00083101593	-0.0007840159	0.99982053	3.7084982e-09	-3.4987615e-09	1
0	0.00047094113	-0.00044435752	0.9998948	0	0	0.25	0.00047094113	-0.00044435755	0.99989486	-1.7804376e-13	1.7988917e-15	2.408678e-19	-1.7783699e-13	0.00094187807	-0.00088871113	0.9997897	4.2051234e-09	-3.9677657e-09	1
0	0.0005519001	-0.00052083965	0.9998718	0	0	0.19499981	0.0005519001	-0.00052083965	0.99987185	-1.7804376e-13	1.7988113e-15	2.6918538e-19	-1.7748669e-13	0.0011037955	-0.0010416746	0.9997437	4.93047e-09	-4.653e-09	1
0	0.0005606504	-0.00052911	0.99986935	0	0	0.19000006	0.0005606504	-0.00052911	0.99986935	-1.7804376e-13	1.7988024e-15	2.7209928e-19	-1.7745485e-13	0.0011212958	-0.0010582153	0.9997387	5.008869e-09	-4.727104e-09	1
0	0.0005697056	-0.0005376657	0.9998668	0	0	0.18499996	0.0005697056	-0.0005376657	0.9998668	-1.7804375e-13	1.7987935e-15	2.750785e-19	-1.7742299e-13	0.001139406	-0.0010753266	0.99973345	5.0899946e-09	-4.803754e-09	1
0	0.00057904713	-0.0005464931	0.9998641	0	0	0.18000017	0.00057904713	-0.0005464931	0.9998641	-1.7804375e-13	1.798784e-15	2.7812555e-19	-1.7739114e-13	0.001158089	-0.0010929813	0.99972814	5.173691e-09	-4.8828426e-09	1
0	0.000588695	-0.0005556109	0.99986124	0	0	0.17499986	0.000588695	-0.0005556109	0.99986124	-1.7804375e-13	1.7987742e-15	2.8124283e-19	-1.7735931e-13	0.0011773846	-0.0011112168	0.99972254	5.260132e-09	-4.9645337e-09	1
0	0.00059867214	-0.0005650403	0.99985844	0	0	0.17000006	0.00059867214	-0.0005650403	0.9998584	-1.7804375e-13	1.798764e-15	2.844329e-19	-1.7732746e-13	0.0011973388	-0.0011300754	0.9997168	5.3495217e-09	-5.0490154e-09	1
0	0.0006089917	-0.0005747942	0.99985534	0	0	0.1650002	0.0006089917	-0.00057479425	0.9998554	-1.7804375e-13	1.7987537e-15	2.8769892e-19	-1.7729562e-13	0.001217978	-0.0011495834	0.9997108	5.441979e-09	-5.1364033e-09	1
0	0.0006196707	-0.0005848884	0.9998523	0	0	0.15999989	0.0006196707	-0.0005848884	0.9998523	-1.7804374e-13	1.7987429e-15	2.9104347e-19	-1.7726378e-13	0.0012393359	-0.0011697717	0.9997046	5.537653e-09	-5.226847e-09	1
0	0.0006307337	-0.0005953458	0.999849	0	0	0.15500008	0.0006307337	-0.0005953458	0.999849	-1.7804372e-13	1.7987316e-15	2.9446955e-19	-1.7723193e-13	0.0012614618	-0.0011906862	0.99969816	5.6367777e-09	-5.320537e-09	1
0	0.0006421994	-0.0006061844	0.99984574	0	0	0.14999981	0.0006421994	-0.0006061844	0.9998457	-1.7804372e-13	1.7987198e-15	2.979806e-19	-1.7720007e-13	0.0012843931	-0.0012123634	0.9996914	5.739502e-09	-5.417647e-09	1
0	0.0006540895	-0.00061742467	0.9998423	0	0	0.14500023	0.0006540895	-0.00061742467	0.9998423	-1.7804371e-13	1.7987077e-15	3.015799e-19	-1.7716822e-13	0.0013081729	-0.0012348437	0.9996846	5.846032e-09	-5.518354e-09	1
0	0.0006664246	-0.0006290871	0.99983865	0	0	0.14000009	0.0006664246	-0.0006290871	0.9998386	-1.7804371e-13	1.7986952e-15	3.0527147e-19	-1.7713638e-13	0.0013328432	-0.0012581686	0.9996773	5.956544e-09	-5.6228413e-09	1
0	0.00067922473	-0.00064119	0.9998349	0	0	0.13500017	0.00067922473	-0.00064119004	0.9998349	-1.7804368e-13	1.7986819e-15	3.0905861e-19	-1.771045e-13	0.0013584433	-0.0012823743	0.99966985	6.0712306e-09	-5.7312786e-09	1
0	0.00069254666	-0.0006537867	0.999831	0	0	0.13000007	0.0006925466	-0.0006537867	0.999831	-1.7804368e-13	1.7986681e-15	3.1294595e-19	-1.7707267e-13	0.001385087	-0.0013075673	0.99966204	6.19059e-09	-5.844138e-09	1
0	0.00070638966	-0.00066687714	0.99982697	0	0	0.125	0.00070638966	-0.0006668771	0.999827	-1.7804368e-13	1.798654e-15	3.1693756e-19	-1.7704084e-13	0.001412773	-0.0013337483	0.9996538	6.314611e-09	-5.9614194e-09	1
0	0.00072080665	-0.0006805104	0.99982274	0	0	0.11999989	0.0007208066	-0.00068051036	0.99982274	-1.7804367e-13	1.798639e-15	3.21038e-19	-1.7700897e-13	0.0014416066	-0.0013610146	0.9996455	6.4437815e-09	-6.0835674e-09	1
0	0.00073580473	-0.00069469644	0.9998183	0	0	0.11499984	0.00073580473	-0.00069469644	0.9998182	-1.7804366e-13	1.7986234e-15	3.2525254e-19	-1.7697713e-13	0.0014716029	-0.0013893867	0.99963653	6.578155e-09	-6.21067e-09	1
0	0.00075144897	-0.00070949394	0.99981374	0	0	0.10999988	0.000751449	-0.000709494	0.9998137	-1.7804366e-13	1.7986075e-15	3.295861e-19	-1.7694529e-13	0.0015028913	-0.0014189816	0.99962735	6.7183192e-09	-6.3432477e-09	1
0	0.00076777313	-0.0007249359	0.99980885	0	0	0.10499983	0.0007677732	-0.0007249359	0.99980885	-1.7804366e-13	1.7985904e-15	3.3404422e-19	-1.7691346e-13	0.0015355395	-0.0014498655	0.9996176	6.8645765e-09	-6.4815966e-09	1
