# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	1.7992557e-15	-0	-1.8261403e-13	0	0	1	0	0	1
0	0.0001641466	-0.00015477795	0.9999744	0	0	0.94999886	0.0001641466	-0.00015477795	0.9999744	-1.7804366e-13	1.7991676e-15	1.0086473e-19	-1.8229582e-13	0.00032829176	-0.00030955457	0.9999488	1.4564937e-09	-1.3733702e-09	1
0	0.00017216084	-0.00016233826	0.99997264	0	0	0.900001	0.00017216083	-0.00016233826	0.99997264	-1.7804367e-13	1.7991615e-15	1.05455085e-19	-1.8197733e-13	0.00034432014	-0.00032467506	0.9999452	1.528292e-09	-1.4410978e-09	1
0	0.00018099742	-0.00017067458	0.9999706	0	0	0.849999	0.00018099743	-0.00017067457	0.9999706	-1.7804367e-13	1.799155e-15	1.1044158e-19	-1.8165882e-13	0.00036199327	-0.00034134762	0.99994123	1.6074551e-09	-1.5157826e-09	1
0	0.00019078855	-0.00017991176	0.9999684	0	0	0.8000007	0.00019078853	-0.00017991175	0.99996835	-1.7804368e-13	1.799147e-15	1.1587764e-19	-1.8134034e-13	0.00038157537	-0.0003598219	0.99993664	1.6951731e-09	-1.5985364e-09	1
0	0.00020170253	-0.00019020845	0.9999658	0	0	0.75	0.00020170254	-0.00019020845	0.9999658	-1.7804371e-13	1.799138e-15	1.2182681e-19	-1.8102185e-13	0.0004034033	-0.00038041524	0.99993163	1.7929499e-09	-1.690782e-09	1
0	0.00021393778	-0.00020175225	0.9999629	0	0	0.69999945	0.00021393778	-0.00020175225	0.9999628	-1.7804371e-13	1.7991278e-15	1.2836564e-19	-1.8070335e-13	0.00042787363	-0.00040350272	0.99992573	1.9025639e-09	-1.7942037e-09	1
0	0.00022775297	-0.00021478732	0.9999595	0	0	0.6500008	0.00022775296	-0.00021478732	0.99995947	-1.7804374e-13	1.7991164e-15	1.3558683e-19	-1.8038488e-13	0.0004555039	-0.00042957274	0.999919	2.0263353e-09	-1.910981e-09	1
0	0.00024347221	-0.00022961978	0.9999557	0	0	0.59999925	0.00024347221	-0.00022961976	0.99995565	-1.7804375e-13	1.799103e-15	1.436043e-19	-1.800664e-13	0.00048694218	-0.00045923755	0.99991137	2.1671647e-09	-2.0438686e-09	1
0	0.00026152466	-0.00024665473	0.9999511	0	0	0.5499998	0.00026152466	-0.00024665473	0.9999511	-1.7804375e-13	1.7990874e-15	1.525594e-19	-1.7974789e-13	0.000523047	-0.0004933073	0.9999023	2.3288977e-09	-2.1964874e-09	1
0	0.00028246644	-0.00026641757	0.9999458	0	0	0.5	0.0002824664	-0.00026641757	0.9999458	-1.7804376e-13	1.799069e-15	1.6263016e-19	-1.7942942e-13	0.0005649304	-0.0005328328	0.99989164	2.5165183e-09	-2.3735474e-09	1
0	0.0003070478	-0.00028961725	0.9999395	0	0	0.4500005	0.00030704777	-0.00028961725	0.99993944	-1.7804376e-13	1.7990472e-15	1.7404451e-19	-1.7911092e-13	0.0006140928	-0.0005792319	0.99987894	2.7367497e-09	-2.581396e-09	1
0	0.00033631647	-0.0003172435	0.9999318	0	0	0.40000036	0.00033631647	-0.0003172435	0.9999317	-1.7804376e-13	1.79902e-15	1.8709941e-19	-1.7879242e-13	0.00067263	-0.00063448417	0.9998635	2.998975e-09	-2.8289047e-09	1
0	0.0003717456	-0.00035068888	0.9999222	0	0	0.34999973	0.0003717456	-0.00035068888	0.9999222	-1.7804376e-13	1.798987e-15	2.0219074e-19	-1.7847393e-13	0.0007434879	-0.0007013747	0.9998445	3.3163945e-09	-3.1285532e-09	1
0	0.00041551114	-0.00039201084	0.9999103	0	0	0.29999962	0.00041551114	-0.00039201084	0.9999103	-1.7804376e-13	1.7989453e-15	2.1985926e-19	-1.7815545e-13	0.0008310186	-0.0007840182	0.99982053	3.7085042e-09	-3.4987706e-09	1
0	0.00047094174	-0.0004443582	0.9998949	0	0	0.25	0.00047094174	-0.0004443582	0.99989486	-1.7804376e-13	1.7988917e-15	2.4086789e-19	-1.7783699e-13	0.00094187923	-0.0008887125	0.9997897	4.20513e-09	-3.9677728e-09	1
0	0.00055189925	-0.00052083895	0.99987185	0	0	0.19499981	0.00055189925	-0.00052083895	0.99987185	-1.7804376e-13	1.7988113e-15	2.6918543e-19	-1.7748669e-13	0.0011037935	-0.0010416734	0.9997437	4.9304623e-09	-4.6529975e-09	1
0	0.0005606642	-0.0005291217	0.99986935	0	0	0.19000006	0.0005606642	-0.0005291217	0.99986935	-1.7804376e-13	1.7988024e-15	2.7209915e-19	-1.7745485e-13	0.0011213233	-0.0010582388	0.9997387	5.0089937e-09	-4.727206e-09	1
0	0.00056970736	-0.0005376671	0.9998668	0	0	0.18499996	0.00056970736	-0.0005376671	0.9998668	-1.7804375e-13	1.7987935e-15	2.7507845e-19	-1.7742299e-13	0.0011394096	-0.0010753294	0.99973345	5.0900115e-09	-4.803769e-09	1
0	0.00057904504	-0.0005464915	0.99986416	0	0	0.18000017	0.00057904504	-0.0005464915	0.99986416	-1.7804375e-13	1.798784e-15	2.781256e-19	-1.7739114e-13	0.001158085	-0.0010929782	0.99972814	5.1736757e-09	-4.882829e-09	1
0	0.0005886964	-0.00055561203	0.9998613	0	0	0.17499986	0.0005886964	-0.00055561203	0.99986124	-1.7804375e-13	1.7987742e-15	2.8124278e-19	-1.7735931e-13	0.0011773874	-0.0011112192	0.99972254	5.2601425e-09	-4.964547e-09	1
0	0.00059867196	-0.00056504016	0.9998584	0	0	0.17000006	0.00059867196	-0.00056504016	0.99985844	-1.7804375e-13	1.798764e-15	2.8443296e-19	-1.7732746e-13	0.0011973386	-0.0011300752	0.99971676	5.349519e-09	-5.0490163e-09	1
0	0.0006089928	-0.0005747948	0.9998554	0	0	0.1650002	0.00060899276	-0.00057479483	0.9998554	-1.7804375e-13	1.7987534e-15	2.876988e-19	-1.7729562e-13	0.00121798	-0.0011495845	0.9997108	5.4419873e-09	-5.1364117e-09	1
0	0.00061966915	-0.0005848871	0.9998523	0	0	0.15999989	0.00061966915	-0.0005848871	0.9998523	-1.7804375e-13	1.7987429e-15	2.9104347e-19	-1.7726376e-13	0.0012393328	-0.0011697689	0.9997046	5.537645e-09	-5.2268336e-09	1
0	0.00063073507	-0.000595347	0.999849	0	0	0.15500008	0.00063073507	-0.000595347	0.999849	-1.7804372e-13	1.7987316e-15	2.9446955e-19	-1.7723191e-13	0.0012614644	-0.0011906887	0.99969816	5.636784e-09	-5.320549e-09	1
0	0.00064219756	-0.00060618285	0.9998457	0	0	0.14999981	0.00064219756	-0.00060618285	0.9998458	-1.7804372e-13	1.7987198e-15	2.9798065e-19	-1.7720007e-13	0.0012843893	-0.0012123601	0.9996915	5.739487e-09	-5.4176326e-09	1
