# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	2.221299e-15	-0	-1.8289977e-13	0	0	1	0	0	1
0	0.00016963824	-0.000159958	0.9999734	0	0	0.94999886	0.00016963825	-0.00015995801	0.9999734	-1.7804366e-13	2.2211906e-15	1.01751074e-19	-1.8254617e-13	0.00033929906	-0.00031993727	0.9999468	-2.2545642e-08	2.1259089e-08	1
0	0.00017921759	-0.00016899503	0.9999713	0	0	0.900001	0.0001792176	-0.00016899503	0.9999713	-1.7804367e-13	2.221181e-15	1.0699583e-19	-1.8219229e-13	0.00035845904	-0.00033801247	0.9999425	-2.3830651e-08	2.2471342e-08	1
0	0.0001899444	-0.0001791148	0.9999688	0	0	0.849999	0.00018994439	-0.0001791148	0.9999689	-1.7804368e-13	2.2211707e-15	1.1275775e-19	-1.8183842e-13	0.00037991404	-0.00035825343	0.99993765	-2.5269602e-08	2.3828859e-08	1
0	0.000202036	-0.00019052265	0.99996597	0	0	0.8000007	0.000202036	-0.00019052265	0.9999661	-1.7804371e-13	2.2211588e-15	1.191172e-19	-1.8148455e-13	0.00040409892	-0.00038107068	0.999932	-2.6891646e-08	2.5359176e-08	1
0	0.00021576934	-0.0002034801	0.9999628	0	0	0.75	0.00021576932	-0.0002034801	0.9999628	-1.7804371e-13	2.2211453e-15	1.2617246e-19	-1.8113065e-13	0.0004315674	-0.00040698732	0.9999256	-2.8733941e-08	2.709738e-08	1
0	0.00023150492	-0.00021832749	0.999959	0	0	0.69999945	0.00023150492	-0.00021832749	0.999959	-1.7804374e-13	2.221129e-15	1.3404519e-19	-1.8077681e-13	0.00046304063	-0.00043668406	0.999918	-3.0844845e-08	2.9089128e-08	1
0	0.00024971907	-0.0002355145	0.9999546	0	0	0.6500008	0.00024971907	-0.0002355145	0.9999545	-1.7804375e-13	2.2211103e-15	1.4288785e-19	-1.8042291e-13	0.00049947144	-0.0004710604	0.9999091	-3.3288266e-08	3.1394755e-08	1
0	0.0002710395	-0.00025563428	0.9999492	0	0	0.59999925	0.0002710395	-0.00025563428	0.9999492	-1.7804375e-13	2.2210873e-15	1.528946e-19	-1.8006904e-13	0.00054211507	-0.0005113026	0.9998985	-3.6148414e-08	3.409383e-08	1
0	0.00029633506	-0.00027950777	0.9999428	0	0	0.5499998	0.00029633506	-0.00027950783	0.9999429	-1.7804376e-13	2.22106e-15	1.6431692e-19	-1.7971516e-13	0.00059270964	-0.0005590529	0.9998857	-3.954185e-08	3.7296488e-08	1
