# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7786631e-13	2.221299e-15	-0	-1.827229e-13	0	0	1	0	0	1
0	0.00015681436	-0.0001478537	0.99997854	0	0	0.94999886	0.00015681436	-0.0001478537	0.9999786	-1.7786666e-13	2.221212e-15	8.0212434e-20	-1.8236922e-13	0.00031360792	-0.00029568776	0.9999571	2.0841561e-08	-1.965064e-08	1
0	0.0001666306	-0.00015711314	0.9999767	0	0	0.900001	0.0001666306	-0.00015711314	0.9999767	-1.7786666e-13	2.2212035e-15	8.4746386e-20	-1.8201532e-13	0.00033323906	-0.0003142054	0.99995327	2.2157238e-08	-2.0891683e-08	1
0	0.00017775706	-0.00016760884	0.9999745	0	0	0.849999	0.00017775704	-0.00016760887	0.9999744	-1.7786669e-13	2.2211944e-15	8.9777395e-20	-1.8166145e-13	0.00035549045	-0.00033519545	0.99994886	2.3648536e-08	-2.229844e-08	1
0	0.00019047745	-0.00017960863	0.9999719	0	0	0.8000007	0.00019047744	-0.00017960863	0.9999719	-1.778667e-13	2.2211836e-15	9.539251e-20	-1.8130758e-13	0.00038092953	-0.00035919336	0.9999439	2.5353485e-08	-2.3906798e-08	1
0	0.00020515583	-0.0001934563	0.99996895	0	0	0.75	0.00020515583	-0.0001934563	0.99996895	-1.778667e-13	2.2211707e-15	1.0170093e-19	-1.8095368e-13	0.00041028435	-0.00038688685	0.9999378	2.7320887e-08	-2.5762851e-08	1
0	0.00022228496	-0.00020961695	0.9999654	0	0	0.69999945	0.00022228496	-0.00020961695	0.99996537	-1.7786674e-13	2.2211559e-15	1.0884174e-19	-1.8059982e-13	0.00044454035	-0.000419206	0.99993074	2.9616787e-08	-2.792894e-08	1
0	0.00024253417	-0.00022872261	0.9999611	0	0	0.6500008	0.00024253418	-0.00022872261	0.99996114	-1.7786674e-13	2.2211372e-15	1.1699524e-19	-1.8024594e-13	0.000485036	-0.00045741475	0.9999222	3.2330902e-08	-3.048977e-08	1
0	0.0002668338	-0.00025165238	0.9999559	0	0	0.59999925	0.0002668338	-0.00025165238	0.9999559	-1.7786675e-13	2.2211148e-15	1.2639989e-19	-1.7989206e-13	0.000533632	-0.0005032711	0.9999117	3.5587934e-08	-3.356318e-08	1
0	0.00029654708	-0.00027969357	0.99994934	0	0	0.5499998	0.00029654708	-0.00027969357	0.99994934	-1.7786675e-13	2.2210868e-15	1.3737905e-19	-1.7953817e-13	0.0005930545	-0.00055934984	0.9998986	3.957061e-08	-3.732174e-08	1
0	0.00033370053	-0.00031476165	0.99994105	0	0	0.5	0.00033370053	-0.00031476165	0.99994105	-1.7786677e-13	2.221051e-15	1.5038381e-19	-1.791843e-13	0.0006673565	-0.0006294813	0.9998821	4.455059e-08	-4.2022187e-08	1
0	0.0003814824	-0.00035987125	0.99993014	0	0	0.4500005	0.0003814824	-0.00035987125	0.99993014	-1.7786677e-13	2.2210042e-15	1.6606676e-19	-1.7883043e-13	0.0007629138	-0.0007196944	0.9998603	5.09552e-08	-4.8068603e-08	1
0	0.00044521515	-0.00042005847	0.9999153	0	0	0.40000036	0.00044521515	-0.00042005847	0.9999153	-1.7786678e-13	2.22094e-15	1.854148e-19	-1.7847658e-13	0.0008903708	-0.00084006076	0.9998306	5.9497886e-08	-5.6136038e-08	1
0	0.0005344702	-0.00050438807	0.99989414	0	0	0.34999973	0.0005344702	-0.00050438807	0.9998941	-1.7786677e-13	2.2208486e-15	2.1001039e-19	-1.781227e-13	0.001068869	-0.0010087087	0.99978817	7.146162e-08	-6.743953e-08	1
0	0.00066835276	-0.00063098356	0.9998617	0	0	0.29999962	0.0006683527	-0.00063098356	0.9998617	-1.7786674e-13	2.2207082e-15	2.426e-19	-1.7776886e-13	0.001336616	-0.0012618827	0.99972343	8.9407266e-08	-8.4408406e-08	1
0	0.0008914553	-0.0008422432	0.9998068	0	0	0.25	0.0008914553	-0.0008422431	0.99980676	-1.7786665e-13	2.2204696e-15	2.8852553e-19	-1.7741502e-13	0.0017827911	-0.0016843736	0.99961364	1.1931209e-07	-1.1272574e-07	1
0	0.0014069217	-0.0013320049	0.99967825	0	0	0.19499981	0.0014069217	-0.001332005	0.99967825	-1.7786633e-13	2.2199084e-15	3.6987484e-19	-1.770258e-13	0.002813655	-0.0026638317	0.9993564	1.8840596e-07	-1.7837395e-07	1
0	0.0014848136	-0.0014062203	0.9996587	0	0	0.19000006	0.0014848136	-0.0014062203	0.99965876	-1.7786631e-13	2.2198228e-15	3.8013923e-19	-1.7699045e-13	0.0029694284	-0.0028122524	0.99931735	1.988467e-07	-1.8832185e-07	1
0	0.0015715365	-0.0014889172	0.9996369	0	0	0.18499996	0.0015715365	-0.0014889169	0.9996369	-1.7786628e-13	2.2197273e-15	3.9112757e-19	-1.7695509e-13	0.003142862	-0.0029776345	0.99927384	2.104712e-07	-1.9940663e-07	1
0	0.0016695097	-0.0015824735	0.9996124	0	0	0.18000017	0.0016695096	-0.0015824736	0.99961245	-1.778662e-13	2.21962e-15	4.0293519e-19	-1.7691969e-13	0.0033387956	-0.0031647352	0.9992247	2.236037e-07	-2.1194711e-07	1
0	0.0017799732	-0.001688042	0.9995847	0	0	0.17499986	0.001779973	-0.001688042	0.99958456	-1.778661e-13	2.219499e-15	4.1567167e-19	-1.768843e-13	0.0035597077	-0.0033758583	0.9991693	2.3841045e-07	-2.2609768e-07	1
0	0.0019062473	-0.001808894	0.99955297	0	0	0.17000006	0.0019062473	-0.001808894	0.99955297	-1.7786605e-13	2.2193602e-15	4.294755e-19	-1.7684896e-13	0.0038122397	-0.0036175456	0.99910593	2.5533654e-07	-2.4229684e-07	1
0	0.0020515032	-0.0019481091	0.9995165	0	0	0.1650002	0.002051503	-0.0019481091	0.99951655	-1.7786594e-13	2.2192003e-15	4.4451264e-19	-1.7681357e-13	0.004102731	-0.0038959575	0.99903303	2.7480692e-07	-2.6095748e-07	1
0	0.0022200358	-0.0021098647	0.9994741	0	0	0.15999989	0.0022200358	-0.002109865	0.99947417	-1.7786582e-13	2.2190141e-15	4.6099174e-19	-1.7677822e-13	0.004439774	-0.0042194473	0.9989482	2.9739738e-07	-2.8263946e-07	1
0	0.0024188692	-0.0023010997	0.9994241	0	0	0.15500008	0.0024188692	-0.0023010997	0.9994241	-1.7786566e-13	2.218795e-15	4.7918154e-19	-1.7674282e-13	0.0048374142	-0.004601891	0.99884826	3.240495e-07	-3.0827294e-07	1
0	0.00265677	-0.0025305077	0.9993644	0	0	0.14999981	0.00265677	-0.0025305077	0.9993644	-1.778655e-13	2.2185326e-15	4.9942503e-19	-1.7670747e-13	0.005313184	-0.005060677	0.9987287	3.559383e-07	-3.3902322e-07	1
0	0.0029461775	-0.0028104335	0.9992917	0	0	0.14500023	0.0029461775	-0.0028104337	0.99929166	-1.7786528e-13	2.2182137e-15	5.2218077e-19	-1.766721e-13	0.0058919606	-0.005620491	0.9985833	3.9473133e-07	-3.7654513e-07	1
0	0.003303319	-0.003156921	0.9992015	0	0	0.14000009	0.003303319	-0.003156921	0.99920154	-1.77865e-13	2.2178175e-15	5.4807064e-19	-1.7663673e-13	0.006606195	-0.006313419	0.99840295	4.426035e-07	-4.22989e-07	1
0	0.0037599993	-0.003602094	0.99908644	0	0	0.13500017	0.0037599995	-0.0036020938	0.99908644	-1.7786464e-13	2.2173118e-15	5.7799535e-19	-1.7660138e-13	0.0075194947	-0.0072037056	0.9981729	5.038182e-07	-4.8266094e-07	1
0	0.00435528	-0.004185335	0.99893534	0	0	0.13000007	0.0043552797	-0.004185335	0.9989354	-1.7786415e-13	2.2166477e-15	6.132449e-19	-1.7656604e-13	0.008709976	-0.008370109	0.99787074	5.8361155e-07	-5.6083996e-07	1
0	0.0051758382	-0.0049953097	0.9987272	0	0	0.125	0.0051758387	-0.0049953097	0.9987272	-1.7786346e-13	2.2157327e-15	6.5592336e-19	-1.7653068e-13	0.010350984	-0.009989951	0.9974544	6.93602e-07	-6.694113e-07	1
0	0.006363276	-0.0061780848	0.99842405	0	0	0.11999989	0.006363276	-0.006178085	0.99842405	-1.7786244e-13	2.2143995e-15	7.095081e-19	-1.7649536e-13	0.012725698	-0.0123553425	0.9968481	8.527705e-07	-8.27954e-07	1
0	0.008213449	-0.008042661	0.99794513	0	0	0.11499984	0.008213449	-0.0080426615	0.99794513	-1.7786082e-13	2.2122946e-15	7.8044796e-19	-1.7646003e-13	0.0164258	-0.016084244	0.9958902	1.1007755e-06	-1.0778883e-06	1
