# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	2.221299e-15	-0	-1.8289977e-13	0	0	1	0	0	1
0	0.00016727598	-0.00015772955	0.99997395	0	0	0.94999886	0.00016727598	-0.00015772955	0.99997395	-1.7804366e-13	2.2211923e-15	1.0289402e-19	-1.8254617e-13	0.00033452973	-0.00031543814	0.9999478	2.2231974e-08	-2.0963206e-08	1
0	0.00017658292	-0.00016650945	0.9999718	0	0	0.900001	0.00017658294	-0.00016650945	0.99997187	-1.7804367e-13	2.2211838e-15	1.08208666e-19	-1.8219229e-13	0.00035314242	-0.00033299671	0.99994373	2.3480625e-08	-2.2141135e-08	1
0	0.00018698504	-0.00017632288	0.99996954	0	0	0.849999	0.00018698504	-0.00017632288	0.9999695	-1.7804368e-13	2.2211734e-15	1.1404812e-19	-1.8183842e-13	0.00037394522	-0.00035262233	0.99993896	2.4876222e-08	-2.3457748e-08	1
0	0.00019869066	-0.0001873664	0.99996686	0	0	0.8000007	0.00019869067	-0.00018736639	0.9999668	-1.7804371e-13	2.221162e-15	1.2049421e-19	-1.8148455e-13	0.0003973549	-0.00037470783	0.99993354	2.6446715e-08	-2.49394e-08	1
0	0.00021195757	-0.00019988348	0.9999637	0	0	0.75	0.00021195757	-0.0001998835	0.9999637	-1.7804371e-13	2.221149e-15	1.2764675e-19	-1.8113065e-13	0.00042388687	-0.00039974038	0.9999274	2.8226687e-08	-2.6618775e-08	1
0	0.000227121	-0.0002141908	0.99996006	0	0	0.69999945	0.00022712097	-0.00021419082	0.99996006	-1.7804374e-13	2.2211334e-15	1.356295e-19	-1.807768e-13	0.00045421172	-0.0004283531	0.9999201	3.0261134e-08	-2.8538349e-08	1
0	0.0002446205	-0.00023070327	0.99995583	0	0	0.6500008	0.00024462046	-0.00023070328	0.99995583	-1.7804375e-13	2.2211154e-15	1.4459758e-19	-1.8042291e-13	0.0004892084	-0.0004613758	0.9999116	3.2609016e-08	-3.0753796e-08	1
0	0.0002650399	-0.00024997242	0.99995077	0	0	0.59999925	0.0002650399	-0.00024997242	0.99995077	-1.7804375e-13	2.2210936e-15	1.547485e-19	-1.8006903e-13	0.0005300445	-0.00049991155	0.9999015	3.5348688e-08	-3.3339134e-08	1
0	0.0002891772	-0.00027275208	0.9999447	0	0	0.5499998	0.0002891772	-0.00027275208	0.9999446	-1.7804376e-13	2.2210678e-15	1.6633842e-19	-1.7971516e-13	0.0005783158	-0.0005454678	0.99988943	3.8587203e-08	-3.6395484e-08	1
0	0.00031814747	-0.00030009597	0.99993724	0	0	0.5	0.00031814747	-0.00030009597	0.99993724	-1.7804376e-13	2.221036e-15	1.7970596e-19	-1.7936127e-13	0.0006362525	-0.0006001519	0.9998745	4.2474188e-08	-4.0064247e-08	1
0	0.0003535614	-0.00033352667	0.999928	0	0	0.4500005	0.00035356142	-0.00033352667	0.999928	-1.7804376e-13	2.2209964e-15	1.9530998e-19	-1.7900739e-13	0.0007070756	-0.00066700875	0.999856	4.722576e-08	-4.4549708e-08	1
0	0.000397839	-0.00037533246	0.99991626	0	0	0.40000036	0.000397839	-0.00037533246	0.99991626	-1.7804376e-13	2.2209452e-15	2.1379087e-19	-1.7865352e-13	0.00079562486	-0.0007506147	0.99983233	5.3166616e-08	-5.0158906e-08	1
0	0.0004547678	-0.000429098	0.9999007	0	0	0.34999973	0.0004547678	-0.000429098	0.9999007	-1.7804376e-13	2.2208789e-15	2.3607412e-19	-1.7829966e-13	0.0009094748	-0.00085813866	0.99980134	6.0804965e-08	-5.7372826e-08	1
0	0.00053069537	-0.00050083385	0.99987954	0	0	0.29999962	0.0005306953	-0.00050083385	0.99987954	-1.7804376e-13	2.2207876e-15	2.6355934e-19	-1.7794582e-13	0.0010613197	-0.0010016006	0.9997592	7.099249e-08	-6.699792e-08	1
0	0.0006369779	-0.00060130894	0.9998495	0	0	0.25	0.00063697784	-0.00060130894	0.99984956	-1.7804374e-13	2.2206578e-15	2.9848931e-19	-1.7759196e-13	0.0012738704	-0.0012025373	0.99969906	8.525295e-08	-8.0479126e-08	1
0	0.000816787	-0.00077146874	0.9997976	0	0	0.19499981	0.000816787	-0.00077146874	0.9997976	-1.7804364e-13	2.2204323e-15	3.5024068e-19	-1.7720276e-13	0.0016334646	-0.0015428341	0.99959517	1.0937893e-07	-1.0331035e-07	1
0	0.0008382507	-0.00079179247	0.99979126	0	0	0.19000006	0.0008382507	-0.00079179247	0.9997913	-1.7804362e-13	2.2204056e-15	3.5592095e-19	-1.7716738e-13	0.001676389	-0.0015834789	0.9995826	1.1225882e-07	-1.0603729e-07	1
0	0.00086095865	-0.0008133002	0.99978465	0	0	0.18499996	0.00086095865	-0.00081330026	0.9997847	-1.7804359e-13	2.2203764e-15	3.6180616e-19	-1.7713198e-13	0.0017218018	-0.0016264915	0.99956936	1.1530571e-07	-1.0892312e-07	1
0	0.0008848775	-0.0008359599	0.9997776	0	0	0.18000017	0.0008848775	-0.0008359599	0.9997776	-1.7804356e-13	2.220346e-15	3.679073e-19	-1.7709659e-13	0.0017696366	-0.001671808	0.99955535	1.1851503e-07	-1.119635e-07	1
0	0.00091015705	-0.00085991475	0.99977034	0	0	0.17499986	0.00091015705	-0.00085991475	0.99977034	-1.7804353e-13	2.220314e-15	3.7423804e-19	-1.7706119e-13	0.0018201922	-0.0017197143	0.99954057	1.2190694e-07	-1.1517764e-07	1
0	0.0009369225	-0.0008852821	0.99976236	0	0	0.17000006	0.0009369225	-0.0008852821	0.99976236	-1.7804353e-13	2.22028e-15	3.8081325e-19	-1.7702583e-13	0.0018737196	-0.0017704456	0.99952483	1.2549823e-07	-1.18581326e-07	1
0	0.0009653028	-0.00091218646	0.99975413	0	0	0.1650002	0.0009653028	-0.00091218646	0.99975413	-1.7804352e-13	2.2202436e-15	3.876484e-19	-1.7699046e-13	0.0019304764	-0.0018242507	0.99950814	1.2930617e-07	-1.2219124e-07	1
0	0.0009953903	-0.00094071653	0.9997452	0	0	0.15999989	0.0009953903	-0.00094071653	0.99974513	-1.7804349e-13	2.2202053e-15	3.9476166e-19	-1.7695505e-13	0.0019906473	-0.0018813069	0.9994904	1.3334319e-07	-1.2601927e-07	1
0	0.0010275427	-0.000971212	0.9997357	0	0	0.15500008	0.0010275429	-0.00097121194	0.9997357	-1.7804345e-13	2.2201636e-15	4.021721e-19	-1.7691966e-13	0.002054948	-0.0019422937	0.9994715	1.3765728e-07	-1.3011103e-07	1
0	0.0010617609	-0.0010036762	0.99972564	0	0	0.14999981	0.001061761	-0.0010036762	0.99972564	-1.7804343e-13	2.2201197e-15	4.0990087e-19	-1.7688429e-13	0.0021233798	-0.002007218	0.9994513	1.4224857e-07	-1.3446697e-07	1
0	0.0010983368	-0.0010383875	0.99971485	0	0	0.14500023	0.0010983368	-0.0010383874	0.99971485	-1.7804341e-13	2.220073e-15	4.179719e-19	-1.7684892e-13	0.0021965264	-0.0020766358	0.9994297	1.4715614e-07	-1.3912438e-07	1
0	0.0011375044	-0.001075571	0.9997032	0	0	0.14000009	0.0011375044	-0.001075571	0.9997032	-1.7804337e-13	2.2200221e-15	4.2641062e-19	-1.7681353e-13	0.0022748562	-0.002150998	0.99940646	1.5241153e-07	-1.4411353e-07	1
0	0.001179475	-0.0011154269	0.9996908	0	0	0.13500017	0.001179475	-0.0011154269	0.9996908	-1.7804334e-13	2.219968e-15	4.3524646e-19	-1.7677816e-13	0.0023587917	-0.0022307043	0.99938154	1.5804298e-07	-1.4946119e-07	1
0	0.0012248564	-0.0011585429	0.99967736	0	0	0.13000007	0.0012248562	-0.0011585429	0.99967736	-1.7804329e-13	2.2199092e-15	4.4451254e-19	-1.7674278e-13	0.0024495483	-0.0023169306	0.9993546	1.6413208e-07	-1.5524634e-07	1
0	0.0012737256	-0.0012049901	0.99966276	0	0	0.125	0.0012737256	-0.0012049901	0.99966276	-1.7804325e-13	2.2198461e-15	4.542441e-19	-1.767074e-13	0.0025472809	-0.0024098186	0.9993256	1.7068925e-07	-1.6147845e-07	1
0	0.001326676	-0.0012553381	0.999647	0	0	0.11999989	0.001326676	-0.0012553381	0.999647	-1.7804321e-13	2.2197773e-15	4.644829e-19	-1.76672e-13	0.0026531746	-0.002510508	0.9992941	1.7779394e-07	-1.6823395e-07	1
0	0.0013840143	-0.0013098783	0.99963	0	0	0.11499984	0.0013840143	-0.0013098783	0.99963	-1.7804317e-13	2.2197028e-15	4.7527425e-19	-1.7663665e-13	0.002767843	-0.0026195813	0.9992598	1.8548737e-07	-1.7555195e-07	1
0	0.0014468879	-0.001369732	0.99961126	0	0	0.10999988	0.0014468879	-0.001369732	0.99961126	-1.7804309e-13	2.2196213e-15	4.8667347e-19	-1.7660125e-13	0.0028935815	-0.0027392802	0.9992225	1.9392351e-07	-1.835829e-07	1
0	0.0015155212	-0.001435099	0.9995909	0	0	0.10499983	0.0015155212	-0.0014350989	0.99959075	-1.7804305e-13	2.2195317e-15	4.987387e-19	-1.7656589e-13	0.0030308391	-0.0028700058	0.99918157	2.031325e-07	-1.923536e-07	1
0	0.0015908087	-0.0015068422	0.99956834	0	0	0.10000009	0.0015908087	-0.0015068422	0.99956834	-1.7804295e-13	2.2194334e-15	5.1153955e-19	-1.7653049e-13	0.0031814042	-0.0030134826	0.9991365	2.1323436e-07	-2.0197983e-07	1
0	0.0016742694	-0.0015864504	0.99954337	0	0	0.09500003	0.0016742694	-0.0015864504	0.99954337	-1.7804288e-13	2.2193248e-15	5.2515893e-19	-1.7649512e-13	0.0033483144	-0.0031726882	0.9990868	2.2443285e-07	-2.1266138e-07	1
0	0.0017667622	-0.0016747344	0.99951583	0	0	0.090000086	0.0017667622	-0.0016747345	0.9995158	-1.780428e-13	2.2192039e-15	5.3968944e-19	-1.7645973e-13	0.0035332874	-0.0033492444	0.9990315	2.3684325e-07	-2.2450702e-07	1
0	0.0018700713	-0.0017734282	0.999485	0	0	0.08500003	0.0018700714	-0.0017734282	0.99948484	-1.7804272e-13	2.2190692e-15	5.5524276e-19	-1.7642437e-13	0.003739892	-0.0035466189	0.9989697	2.5070494e-07	-2.3774939e-07	1
