# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	2.221299e-15	-0	-1.8289977e-13	0	0	1	0	0	1
0	0.00016727598	-0.00015772955	0.99997395	0	0	0.94999886	0.00016727598	-0.00015772955	0.99997395	-1.7804366e-13	2.2211923e-15	1.0289403e-19	-1.8254617e-13	0.00033452973	-0.00031543814	0.99994785	2.2231974e-08	-2.0963206e-08	1
0	0.00017658292	-0.00016650945	0.99997187	0	0	0.900001	0.00017658294	-0.00016650945	0.9999718	-1.7804367e-13	2.2211838e-15	1.08208666e-19	-1.8219229e-13	0.00035314242	-0.00033299671	0.99994373	2.3480624e-08	-2.2141137e-08	1
0	0.00018698504	-0.00017632288	0.9999695	0	0	0.849999	0.00018698504	-0.00017632288	0.9999695	-1.7804368e-13	2.2211734e-15	1.1404812e-19	-1.8183842e-13	0.00037394522	-0.00035262233	0.99993896	2.487622e-08	-2.3457748e-08	1
0	0.00019869066	-0.00018736639	0.9999668	0	0	0.8000007	0.00019869066	-0.0001873664	0.9999668	-1.7804371e-13	2.2211624e-15	1.2049421e-19	-1.8148455e-13	0.0003973549	-0.00037470786	0.9999336	2.6446711e-08	-2.49394e-08	1
0	0.00021195757	-0.0001998835	0.9999637	0	0	0.75	0.00021195755	-0.0001998835	0.9999637	-1.7804371e-13	2.221149e-15	1.2764674e-19	-1.8113065e-13	0.0004238869	-0.00039974035	0.9999273	2.8226687e-08	-2.6618775e-08	1
0	0.00022712097	-0.0002141908	0.99996006	0	0	0.69999945	0.00022712098	-0.0002141908	0.99996006	-1.7804372e-13	2.2211336e-15	1.356295e-19	-1.807768e-13	0.00045421172	-0.0004283531	0.99992007	3.0261134e-08	-2.8538352e-08	1
0	0.0002446205	-0.00023070327	0.99995583	0	0	0.6500008	0.0002446205	-0.00023070327	0.99995583	-1.7804375e-13	2.2211152e-15	1.4459758e-19	-1.8042291e-13	0.0004892083	-0.00046137578	0.99991167	3.260902e-08	-3.0753796e-08	1
0	0.0002650399	-0.00024997242	0.99995077	0	0	0.59999925	0.0002650399	-0.00024997242	0.99995077	-1.7804375e-13	2.2210936e-15	1.5474851e-19	-1.8006903e-13	0.0005300445	-0.00049991155	0.9999015	3.5348684e-08	-3.3339134e-08	1
0	0.0002891772	-0.00027275208	0.9999447	0	0	0.5499998	0.0002891772	-0.00027275208	0.9999446	-1.7804376e-13	2.2210678e-15	1.6633842e-19	-1.7971516e-13	0.0005783158	-0.0005454678	0.9998894	3.8587206e-08	-3.639549e-08	1
0	0.00031814747	-0.00030009597	0.99993724	0	0	0.5	0.00031814747	-0.00030009597	0.99993724	-1.7804376e-13	2.221036e-15	1.7970596e-19	-1.7936127e-13	0.0006362525	-0.00060015183	0.9998745	4.247419e-08	-4.0064247e-08	1
0	0.0003535614	-0.00033352667	0.999928	0	0	0.4500005	0.00035356142	-0.00033352667	0.999928	-1.7804376e-13	2.2209964e-15	1.9530998e-19	-1.7900739e-13	0.0007070756	-0.00066700875	0.999856	4.722576e-08	-4.4549708e-08	1
0	0.000397839	-0.00037533246	0.99991626	0	0	0.40000036	0.000397839	-0.00037533246	0.99991626	-1.7804376e-13	2.2209452e-15	2.1379087e-19	-1.7865352e-13	0.00079562486	-0.0007506147	0.99983233	5.3166616e-08	-5.0158906e-08	1
0	0.00045476784	-0.000429098	0.9999007	0	0	0.34999973	0.0004547678	-0.000429098	0.9999007	-1.7804376e-13	2.2208787e-15	2.3607412e-19	-1.7829966e-13	0.0009094748	-0.00085813866	0.99980134	6.0804965e-08	-5.7372826e-08	1
0	0.00053069915	-0.0005008376	0.99987954	0	0	0.29999962	0.00053069915	-0.00050083763	0.99987954	-1.7804376e-13	2.2207876e-15	2.6355947e-19	-1.7794582e-13	0.0010613274	-0.0010016082	0.9997592	7.0993e-08	-6.699841e-08	1
0	0.0006369778	-0.00060130906	0.99984944	0	0	0.25	0.0006369777	-0.00060130906	0.9998495	-1.7804372e-13	2.2206578e-15	2.984894e-19	-1.7759196e-13	0.0012738704	-0.0012025376	0.999699	8.5252935e-08	-8.047915e-08	1
0	0.00081678655	-0.0007714683	0.9997976	0	0	0.19499981	0.00081678655	-0.0007714683	0.9997976	-1.7804364e-13	2.2204325e-15	3.5024073e-19	-1.7720276e-13	0.0016334638	-0.0015428333	0.99959517	1.0937888e-07	-1.033103e-07	1
0	0.0008382509	-0.0007917915	0.9997913	0	0	0.19000006	0.0008382509	-0.0007917915	0.9997913	-1.7804362e-13	2.2204052e-15	3.559206e-19	-1.7716738e-13	0.0016763895	-0.0015834768	0.99958265	1.12258846e-07	-1.0603716e-07	1
0	0.00086096156	-0.00081330276	0.99978465	0	0	0.18499996	0.00086096156	-0.00081330276	0.99978465	-1.7804359e-13	2.2203764e-15	3.6180616e-19	-1.7713198e-13	0.0017218078	-0.0016264966	0.9995693	1.1530609e-07	-1.0892346e-07	1
0	0.0008848765	-0.000835959	0.9997777	0	0	0.18000017	0.0008848765	-0.000835959	0.9997776	-1.7804356e-13	2.220346e-15	3.6790714e-19	-1.7709659e-13	0.0017696347	-0.0016718061	0.9995554	1.185149e-07	-1.1196337e-07	1
0	0.00091015745	-0.000859915	0.9997703	0	0	0.17499986	0.00091015745	-0.00085991493	0.99977034	-1.7804353e-13	2.2203141e-15	3.7423807e-19	-1.7706119e-13	0.001820193	-0.0017197148	0.99954057	1.2190698e-07	-1.15177684e-07	1
0	0.0009369234	-0.0008852823	0.99976236	0	0	0.17000006	0.0009369233	-0.0008852823	0.99976236	-1.7804353e-13	2.2202802e-15	3.8081307e-19	-1.7702583e-13	0.0018737214	-0.0017704461	0.9995249	1.2549833e-07	-1.1858137e-07	1
0	0.00096530304	-0.0009121866	0.99975413	0	0	0.1650002	0.00096530304	-0.0009121866	0.99975413	-1.7804352e-13	2.2202436e-15	3.8764853e-19	-1.7699046e-13	0.0019304769	-0.0018242509	0.99950814	1.293062e-07	-1.2219127e-07	1
0	0.0009953544	-0.00094068167	0.99974513	0	0	0.15999989	0.0009953544	-0.00094068167	0.99974513	-1.7804348e-13	2.2202053e-15	3.9476135e-19	-1.7695508e-13	0.0019905753	-0.0018812374	0.9994904	1.3333838e-07	-1.260146e-07	1
0	0.0010275443	-0.0009712133	0.99973565	0	0	0.15500008	0.0010275443	-0.0009712133	0.9997357	-1.7804345e-13	2.2201636e-15	4.021721e-19	-1.7691966e-13	0.002054951	-0.0019422965	0.9994714	1.376575e-07	-1.3011122e-07	1
0	0.001061758	-0.0010036733	0.99972564	0	0	0.14999981	0.0010617578	-0.0010036733	0.99972564	-1.7804343e-13	2.2201197e-15	4.0990082e-19	-1.7688429e-13	0.0021233736	-0.002007212	0.9994513	1.4224814e-07	-1.3446656e-07	1
0	0.0010983397	-0.0010383903	0.99971485	0	0	0.14500023	0.0010983397	-0.0010383903	0.99971485	-1.7804341e-13	2.220073e-15	4.1797204e-19	-1.7684892e-13	0.0021965322	-0.0020766414	0.9994297	1.4715656e-07	-1.3912474e-07	1
0	0.0011374222	-0.0010754913	0.9997032	0	0	0.14000009	0.0011374222	-0.0010754913	0.99970317	-1.7804337e-13	2.2200225e-15	4.2641052e-19	-1.7681353e-13	0.002274692	-0.0021508385	0.99940646	1.5240049e-07	-1.4410281e-07	1
0	0.0011794955	-0.0011154474	0.9996908	0	0	0.13500017	0.0011794955	-0.0011154474	0.9996908	-1.7804334e-13	2.219968e-15	4.3524657e-19	-1.7677816e-13	0.0023588329	-0.0022307453	0.99938154	1.5804574e-07	-1.4946394e-07	1
0	0.0012248551	-0.0011585421	0.9996773	0	0	0.13000007	0.0012248551	-0.0011585421	0.9996773	-1.7804329e-13	2.2199092e-15	4.4451254e-19	-1.7674278e-13	0.002449546	-0.002316929	0.9993546	1.6413193e-07	-1.5524623e-07	1
0	0.0012736236	-0.0012048886	0.99966276	0	0	0.125	0.0012736236	-0.0012048885	0.9996629	-1.7804325e-13	2.2198461e-15	4.542442e-19	-1.767074e-13	0.0025470767	-0.0024096153	0.99932563	1.706755e-07	-1.6146481e-07	1
0	0.0013266872	-0.0012553488	0.999647	0	0	0.11999989	0.0013266872	-0.0012553488	0.99964696	-1.780432e-13	2.2197773e-15	4.64483e-19	-1.76672e-13	0.0026531965	-0.0025105292	0.9992941	1.7779541e-07	-1.6823537e-07	1
0	0.0013841628	-0.0013100295	0.99963	0	0	0.11499984	0.0013841628	-0.0013100295	0.99963	-1.7804317e-13	2.2197026e-15	4.752739e-19	-1.7663665e-13	0.00276814	-0.0026198835	0.9992598	1.8550729e-07	-1.7557225e-07	1
0	0.0014468889	-0.0013697331	0.99961126	0	0	0.10999988	0.001446889	-0.0013697331	0.99961126	-1.7804309e-13	2.2196213e-15	4.8667326e-19	-1.7660125e-13	0.0028935838	-0.0027392828	0.9992225	1.9392365e-07	-1.8358305e-07	1
0	0.0015155087	-0.0014350871	0.99959075	0	0	0.10499983	0.0015155085	-0.0014350872	0.9995908	-1.7804306e-13	2.2195319e-15	4.987385e-19	-1.7656589e-13	0.0030308142	-0.0028699818	0.99918157	2.0313082e-07	-1.9235199e-07	1
0	0.0015907297	-0.0015067612	0.99956834	0	0	0.10000009	0.0015907298	-0.0015067612	0.99956834	-1.7804295e-13	2.2194334e-15	5.1153935e-19	-1.7653049e-13	0.0031812463	-0.0030133203	0.99913657	2.1322377e-07	-2.0196896e-07	1
0	0.0016740679	-0.0015862435	0.9995433	0	0	0.09500003	0.001674068	-0.0015862435	0.99954337	-1.7804287e-13	2.2193248e-15	5.251584e-19	-1.7649512e-13	0.0033479119	-0.0031722742	0.9990868	2.2440584e-07	-2.1263358e-07	1
