# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	2.221299e-15	-0	-1.8289977e-13	0	0	1	0	0	1
0	0.00016727611	-0.00015772966	0.999974	0	0	0.94999886	0.00016727611	-0.00015772966	0.999974	-1.7804366e-13	2.2211925e-15	1.0289402e-19	-1.8254617e-13	0.00033453	-0.00031543837	0.99994785	2.2231992e-08	-2.096322e-08	1
0	0.00017658221	-0.0001665088	0.9999719	0	0	0.900001	0.00017658221	-0.0001665088	0.99997187	-1.7804367e-13	2.2211838e-15	1.08208646e-19	-1.8219229e-13	0.00035314093	-0.00033299546	0.9999437	2.3480528e-08	-2.2141045e-08	1
0	0.00018698587	-0.0001763236	0.99996954	0	0	0.849999	0.00018698587	-0.0001763236	0.9999695	-1.7804368e-13	2.2211737e-15	1.1404813e-19	-1.8183842e-13	0.00037394682	-0.00035262373	0.99993896	2.4876332e-08	-2.3457844e-08	1
0	0.00019868996	-0.00018736577	0.9999668	0	0	0.8000007	0.00019868996	-0.00018736577	0.99996686	-1.7804371e-13	2.221162e-15	1.204942e-19	-1.8148455e-13	0.00039735343	-0.00037470658	0.99993366	2.6446614e-08	-2.4939318e-08	1
0	0.00021195743	-0.00019988339	0.99996364	0	0	0.75	0.00021195743	-0.00019988339	0.99996364	-1.7804371e-13	2.2211489e-15	1.2764675e-19	-1.8113065e-13	0.00042388664	-0.00039974015	0.99992734	2.8226674e-08	-2.661876e-08	1
0	0.0002271206	-0.00021419047	0.99996006	0	0	0.69999945	0.0002271206	-0.00021419047	0.99996006	-1.7804372e-13	2.2211336e-15	1.3562948e-19	-1.807768e-13	0.00045421097	-0.0004283524	0.9999201	3.026108e-08	-2.8538302e-08	1
0	0.00024462224	-0.00023070481	0.99995583	0	0	0.6500008	0.00024462224	-0.00023070484	0.99995583	-1.7804375e-13	2.2211154e-15	1.4459758e-19	-1.8042291e-13	0.0004892118	-0.0004613789	0.9999116	3.2609254e-08	-3.075401e-08	1
0	0.00026504046	-0.00024997292	0.99995077	0	0	0.59999925	0.00026504046	-0.00024997292	0.99995077	-1.7804375e-13	2.2210936e-15	1.5474851e-19	-1.8006903e-13	0.0005300456	-0.0004999125	0.99990153	3.5348762e-08	-3.33392e-08	1
0	0.00028917825	-0.000272753	0.9999447	0	0	0.5499998	0.00028917822	-0.000272753	0.9999447	-1.7804376e-13	2.2210678e-15	1.6633842e-19	-1.7971516e-13	0.00057831785	-0.00054546964	0.9998894	3.8587345e-08	-3.6395612e-08	1
0	0.0003181455	-0.00030009417	0.99993724	0	0	0.5	0.0003181455	-0.00030009417	0.9999373	-1.7804376e-13	2.221036e-15	1.7970592e-19	-1.7936127e-13	0.0006362485	-0.0006001483	0.9998745	4.247393e-08	-4.0064002e-08	1
0	0.0003535631	-0.00033352812	0.99992794	0	0	0.4500005	0.00035356305	-0.00033352812	0.999928	-1.7804376e-13	2.2209964e-15	1.9531001e-19	-1.7900739e-13	0.000707079	-0.0006670117	0.99985594	4.722599e-08	-4.4549914e-08	1
0	0.00039784014	-0.00037533353	0.9999162	0	0	0.40000036	0.00039784014	-0.00037533353	0.9999162	-1.7804378e-13	2.2209452e-15	2.1379084e-19	-1.7865353e-13	0.0007956272	-0.00075061695	0.99983233	5.3166772e-08	-5.0159066e-08	1
0	0.0004547688	-0.0004290991	0.9999007	0	0	0.34999973	0.0004547688	-0.0004290991	0.9999007	-1.7804376e-13	2.2208789e-15	2.3607417e-19	-1.7829966e-13	0.0009094768	-0.0008581409	0.9998014	6.080511e-08	-5.7372976e-08	1
0	0.00053069583	-0.0005008343	0.9998795	0	0	0.29999962	0.0005306959	-0.0005008343	0.9998796	-1.7804376e-13	2.2207876e-15	2.6355936e-19	-1.7794582e-13	0.0010613208	-0.0010016018	0.9997592	7.099257e-08	-6.699798e-08	1
0	0.0006369775	-0.0006013087	0.9998495	0	0	0.25	0.0006369775	-0.00060130865	0.9998495	-1.7804372e-13	2.2206578e-15	2.9848936e-19	-1.7759196e-13	0.0012738698	-0.001202537	0.9996991	8.525289e-08	-8.04791e-08	1
0	0.0008167884	-0.0007714701	0.9997976	0	0	0.19499981	0.0008167884	-0.00077147	0.9997976	-1.7804362e-13	2.2204325e-15	3.5024073e-19	-1.7720275e-13	0.0016334674	-0.0015428367	0.99959517	1.09379116e-07	-1.0331053e-07	1
0	0.00083825516	-0.0007917969	0.9997913	0	0	0.19000006	0.00083825516	-0.00079179683	0.9997913	-1.7804362e-13	2.2204052e-15	3.5592114e-19	-1.7716738e-13	0.0016763981	-0.0015834876	0.99958265	1.1225943e-07	-1.0603789e-07	1
0	0.0008609579	-0.00081329944	0.9997847	0	0	0.18499996	0.0008609578	-0.0008132995	0.9997847	-1.7804359e-13	2.2203764e-15	3.6180614e-19	-1.7713198e-13	0.0017218003	-0.0016264901	0.99956936	1.15305596e-07	-1.0892302e-07	1
0	0.0008848788	-0.00083596096	0.9997777	0	0	0.18000017	0.00088487874	-0.00083596096	0.9997777	-1.7804356e-13	2.220346e-15	3.6790724e-19	-1.7709659e-13	0.0017696389	-0.00167181	0.99955535	1.1851519e-07	-1.11963644e-07	1
0	0.0009101557	-0.0008599135	0.9997703	0	0	0.17499986	0.0009101557	-0.0008599135	0.9997703	-1.7804353e-13	2.220314e-15	3.7423802e-19	-1.7706119e-13	0.0018201896	-0.0017197118	0.99954057	1.2190677e-07	-1.1517747e-07	1
0	0.0009369222	-0.0008852818	0.99976236	0	0	0.17000006	0.0009369222	-0.0008852818	0.99976236	-1.7804353e-13	2.2202802e-15	3.8081317e-19	-1.7702583e-13	0.0018737189	-0.001770445	0.99952483	1.2549818e-07	-1.1858128e-07	1
0	0.00096530735	-0.0009121907	0.99975413	0	0	0.1650002	0.00096530735	-0.0009121907	0.99975413	-1.7804352e-13	2.2202436e-15	3.8764853e-19	-1.7699046e-13	0.0019304855	-0.0018242592	0.99950814	1.2930677e-07	-1.221918e-07	1
0	0.0009953597	-0.00094068685	0.99974513	0	0	0.15999989	0.0009953597	-0.00094068685	0.99974513	-1.780435e-13	2.2202053e-15	3.947614e-19	-1.7695506e-13	0.0019905863	-0.0018812477	0.9994904	1.3333909e-07	-1.260153e-07	1
0	0.0010275445	-0.00097121357	0.9997357	0	0	0.15500008	0.0010275445	-0.00097121357	0.99973565	-1.7804345e-13	2.2201638e-15	4.021721e-19	-1.7691966e-13	0.0020549514	-0.0019422971	0.99947155	1.3765752e-07	-1.3011126e-07	1
