# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	2.221299e-15	-0	-1.8289977e-13	0	0	1	0	0	1
0	0.0001683703	-0.00015876185	0.9999738	0	0	0.94999886	0.0001683703	-0.00015876185	0.99997365	-1.7804366e-13	2.2211914e-15	1.02369184e-19	-1.8254617e-13	0.00033673912	-0.00031752232	0.99994737	1.4949264e-09	-1.4096195e-09	1
0	0.00017780255	-0.00016766004	0.9999716	0	0	0.900001	0.00017780255	-0.00016766004	0.99997157	-1.7804367e-13	2.2211825e-15	1.07652283e-19	-1.8219229e-13	0.00035560346	-0.00033531856	0.99994314	1.5794597e-09	-1.4893665e-09	1
0	0.0001883549	-0.00017761519	0.99996924	0	0	0.849999	0.0001883549	-0.00017761519	0.9999692	-1.7804368e-13	2.2211726e-15	1.1345683e-19	-1.8183842e-13	0.0003767081	-0.0003552288	0.99993837	1.6740351e-09	-1.5785885e-09	1
0	0.00020023735	-0.00018882567	0.99996644	0	0	0.8000007	0.00020023735	-0.00018882567	0.99996644	-1.7804371e-13	2.2211607e-15	1.19864e-19	-1.8148455e-13	0.0004004729	-0.00037764967	0.9999329	1.7805302e-09	-1.6790618e-09	1
0	0.00021372056	-0.0002015469	0.99996316	0	0	0.75	0.00021372056	-0.0002015469	0.9999633	-1.7804372e-13	2.221147e-15	1.2697301e-19	-1.8113066e-13	0.0004274392	-0.00040309198	0.9999265	1.9013724e-09	-1.7930724e-09	1
0	0.00022914581	-0.00021610143	0.99995965	0	0	0.69999945	0.00022914581	-0.00021610143	0.99995965	-1.7804374e-13	2.2211315e-15	1.3490673e-19	-1.807768e-13	0.00045828955	-0.00043220088	0.99991906	2.0396245e-09	-1.9235218e-09	1
0	0.00024697252	-0.00023292279	0.9999552	0	0	0.6500008	0.00024697252	-0.00023292276	0.9999552	-1.7804375e-13	2.2211127e-15	1.4381913e-19	-1.8042291e-13	0.0004939429	-0.0004658435	0.9999104	2.1993978e-09	-2.0742852e-09	1
0	0.00026780515	-0.00025258202	0.9999501	0	0	0.59999925	0.00026780515	-0.00025258202	0.9999501	-1.7804375e-13	2.2210909e-15	1.5390645e-19	-1.8006903e-13	0.0005356079	-0.0005051618	0.99990016	2.386113e-09	-2.250485e-09	1
0	0.00029247208	-0.00027586188	0.9999439	0	0	0.5499998	0.00029247208	-0.00027586188	0.99994385	-1.7804376e-13	2.221064e-15	1.6542286e-19	-1.7971516e-13	0.0005849416	-0.0005517213	0.99988765	2.6071962e-09	-2.4591382e-09	1
0	0.00032214358	-0.00030386797	0.9999362	0	0	0.5	0.00032214358	-0.00030386797	0.9999362	-1.7804376e-13	2.2210316e-15	1.7870451e-19	-1.7936127e-13	0.0006442843	-0.0006077332	0.9998723	2.8731384e-09	-2.7101486e-09	1
0	0.00035850628	-0.00033819495	0.9999267	0	0	0.4500005	0.00035850628	-0.00033819495	0.9999267	-1.7804376e-13	2.2209907e-15	1.9420714e-19	-1.7900739e-13	0.0007170093	-0.0006763869	0.9998533	3.1990453e-09	-3.0178198e-09	1
0	0.00040410992	-0.0003812542	0.99991447	0	0	0.40000036	0.00040410992	-0.0003812542	0.99991447	-1.7804378e-13	2.220938e-15	2.1256619e-19	-1.7865355e-13	0.0008082162	-0.00076250505	0.999829	3.6077894e-09	-3.4037566e-09	1
0	0.00046298536	-0.00043686014	0.9998984	0	0	0.34999973	0.00046298536	-0.00043686014	0.9998984	-1.7804376e-13	2.2208687e-15	2.3470053e-19	-1.7829966e-13	0.0009259666	-0.0008737164	0.9997968	4.135486e-09	-3.9021497e-09	1
0	0.00054191705	-0.00051143905	0.9998765	0	0	0.29999962	0.0005419171	-0.00051143905	0.9998765	-1.7804376e-13	2.220774e-15	2.6199953e-19	-1.7794583e-13	0.0010838293	-0.0010228736	0.9997529	4.8429536e-09	-4.5705972e-09	1
0	0.0006532086	-0.0006166595	0.9998449	0	0	0.25	0.0006532086	-0.00061665947	0.9998449	-1.7804371e-13	2.220637e-15	2.966894e-19	-1.7759199e-13	0.001306411	-0.0012333136	0.9996897	5.8404592e-09	-5.5136935e-09	1
0	0.00084366556	-0.0007969251	0.9997897	0	0	0.19499981	0.00084366556	-0.0007969251	0.9997897	-1.7804359e-13	2.2203982e-15	3.4807972e-19	-1.7720275e-13	0.0016873236	-0.0015938431	0.9995794	7.54754e-09	-7.1294317e-09	1
0	0.00086662895	-0.0008186716	0.99978304	0	0	0.19000006	0.00086662895	-0.00081867166	0.99978304	-1.7804356e-13	2.2203692e-15	3.5372055e-19	-1.7716735e-13	0.0017332502	-0.0016373359	0.999566	7.753357e-09	-7.3243474e-09	1
0	0.00089087046	-0.00084163854	0.9997759	0	0	0.18499996	0.00089087046	-0.00084163854	0.9997759	-1.7804356e-13	2.2203385e-15	3.59564e-19	-1.7713198e-13	0.0017817329	-0.0016832695	0.9995518	7.970648e-09	-7.5302e-09	1
0	0.0009164777	-0.0008659045	0.99976844	0	0	0.18000017	0.00091647764	-0.0008659045	0.99976844	-1.7804353e-13	2.2203059e-15	3.6562166e-19	-1.7709659e-13	0.0018329473	-0.0017318011	0.99953675	8.200163e-09	-7.7476985e-09	1
0	0.00094364374	-0.0008916533	0.9997604	0	0	0.17499986	0.00094364374	-0.0008916534	0.9997604	-1.7804352e-13	2.2202711e-15	3.7190831e-19	-1.7706122e-13	0.001887279	-0.0017832988	0.9995208	8.4436556e-09	-7.978487e-09	1
0	0.0009723709	-0.0009188884	0.9997519	0	0	0.17000006	0.0009723709	-0.0009188884	0.9997519	-1.780435e-13	2.2202343e-15	3.78437e-19	-1.7702583e-13	0.0019447332	-0.0018377687	0.99950397	8.701138e-09	-8.222601e-09	1
0	0.0010030481	-0.00094797875	0.999743	0	0	0.1650002	0.0010030479	-0.0009479787	0.999743	-1.7804349e-13	2.2201953e-15	3.8522409e-19	-1.7699046e-13	0.002006087	-0.001895949	0.99948585	8.976102e-09	-8.483339e-09	1
0	0.0010356359	-0.0009788896	0.99973327	0	0	0.15999989	0.0010356358	-0.0009788896	0.99973327	-1.7804345e-13	2.2201534e-15	3.9228712e-19	-1.7695506e-13	0.0020712626	-0.0019577704	0.9994666	9.26819e-09	-8.760397e-09	1
0	0.0010703383	-0.0010118148	0.99972314	0	0	0.15500008	0.0010703383	-0.0010118148	0.9997231	-1.7804343e-13	2.2201085e-15	3.996449e-19	-1.7691969e-13	0.002140667	-0.0020236205	0.99944615	9.5792325e-09	-9.055508e-09	1
