# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7814926e-13	2.221299e-15	-0	-1.8300585e-13	0	0	1	0	0	1
0	0.00017255798	-0.00016271634	0.9999713	0	0	0.94999886	0.00017255798	-0.00016271636	0.9999713	-1.7814976e-13	2.2211815e-15	1.168311e-19	-1.8265226e-13	0.000345093	-0.00032541112	0.9999425	2.2933989e-08	-2.1625983e-08	1
0	0.00018155747	-0.00017120663	0.99996907	0	0	0.900001	0.00018155747	-0.00017120663	0.99996907	-1.7814977e-13	2.2211722e-15	1.2257275e-19	-1.8229838e-13	0.00036309077	-0.00034239053	0.99993825	2.4142103e-08	-2.2765732e-08	1
0	0.00019154753	-0.0001806317	0.99996674	0	0	0.849999	0.00019154753	-0.0001806317	0.99996674	-1.7814977e-13	2.2211618e-15	1.2885003e-19	-1.8194449e-13	0.0003830696	-0.00036123936	0.99993324	2.548321e-08	-2.4030989e-08	1
0	0.00020270032	-0.00019115412	0.9999639	0	0	0.8000007	0.0002027003	-0.00019115412	0.9999639	-1.7814981e-13	2.2211504e-15	1.3574115e-19	-1.8159061e-13	0.00040537363	-0.00038228283	0.99992776	2.698042e-08	-2.5443569e-08	1
0	0.00021523108	-0.00020297717	0.99996066	0	0	0.75	0.00021523108	-0.00020297719	0.99996066	-1.7814981e-13	2.2211368e-15	1.4334054e-19	-1.8123674e-13	0.00043043352	-0.0004059273	0.99992144	2.8662633e-08	-2.7030769e-08	1
0	0.00022941192	-0.00021635774	0.9999572	0	0	0.69999945	0.00022941192	-0.00021635777	0.9999572	-1.7814983e-13	2.2211213e-15	1.5176365e-19	-1.8088288e-13	0.0004587933	-0.0004326867	0.99991417	3.0566376e-08	-2.8827074e-08	1
0	0.00024559328	-0.00023162681	0.99995285	0	0	0.6500008	0.00024559328	-0.0002316268	0.99995285	-1.7814987e-13	2.2211031e-15	1.6115275e-19	-1.8052901e-13	0.00049115386	-0.0004632227	0.9999057	3.2738704e-08	-3.0876922e-08	1
0	0.00026422812	-0.00024921217	0.9999479	0	0	0.59999925	0.00026422812	-0.00024921217	0.9999479	-1.7814987e-13	2.2210822e-15	1.716859e-19	-1.8017512e-13	0.000528421	-0.0004983911	0.99989593	3.524043e-08	-3.3237747e-08	1
0	0.00028591862	-0.0002696829	0.99994206	0	0	0.5499998	0.00028591862	-0.0002696829	0.9999421	-1.7814987e-13	2.221057e-15	1.8358917e-19	-1.7982123e-13	0.0005717991	-0.00053932983	0.9998841	3.8152393e-08	-3.598595e-08	1
