# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	mx ()	my ()	mz ()	E_anis (J)	E_demag (J)	E_exch (J)	E_total (J)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()	m_zrange0_x ()	m_zrange0_y ()	m_zrange0_z ()
0	0	0	1	0	0	1	0	0	1	-1.7804318e-13	1.7992557e-15	-0	-1.8261403e-13	0	0	1	0	0	1
0	0.00016310679	-0.00015379707	0.9999746	0	0	0.94999886	0.00016310679	-0.00015379707	0.9999747	-1.7804366e-13	1.7991687e-15	1.0137601e-19	-1.8229582e-13	0.0003261919	-0.00030757367	0.9999493	2.1672045e-08	-2.0435065e-08	1
0	0.00017101652	-0.00016125877	0.9999729	0	0	0.900001	0.00017101652	-0.00016125877	0.99997294	-1.7804367e-13	1.7991624e-15	1.0599324e-19	-1.8197733e-13	0.0003420103	-0.0003224961	0.9999458	2.2733206e-08	-2.1436112e-08	1
0	0.00017973359	-0.00016948223	0.9999709	0	0	0.849999	0.00017973359	-0.00016948223	0.9999709	-1.7804367e-13	1.7991556e-15	1.1100915e-19	-1.8165882e-13	0.00035944325	-0.00033894193	0.99994177	2.3902691e-08	-2.2539373e-08	1
0	0.00018938484	-0.0001785874	0.99996877	0	0	0.8000007	0.00018938484	-0.00017858739	0.9999687	-1.7804368e-13	1.7991477e-15	1.1647743e-19	-1.8134034e-13	0.00037874444	-0.00035715103	0.9999373	2.5197512e-08	-2.3760922e-08	1
0	0.00020013246	-0.00018872715	0.9999662	0	0	0.75	0.00020013246	-0.00018872714	0.9999662	-1.7804371e-13	1.7991393e-15	1.2246218e-19	-1.8102185e-13	0.00040023832	-0.00037742918	0.9999323	2.6639439e-08	-2.5121288e-08	1
0	0.00021217219	-0.00020008639	0.99996334	0	0	0.69999945	0.00021217219	-0.00020008639	0.99996334	-1.7804372e-13	1.7991295e-15	1.2904036e-19	-1.8070337e-13	0.00042431615	-0.00040014615	0.9999266	2.825473e-08	-2.6645282e-08	1
0	0.00022575211	-0.00021289937	0.99996006	0	0	0.6500008	0.00022575211	-0.00021289937	0.99996006	-1.7804374e-13	1.7991179e-15	1.3630537e-19	-1.8038488e-13	0.0004514742	-0.0004257704	0.99992	3.007667e-08	-2.8364315e-08	1
0	0.00024118903	-0.00022746518	0.99995625	0	0	0.59999925	0.00024118903	-0.00022746518	0.99995625	-1.7804375e-13	1.799105e-15	1.4437175e-19	-1.800664e-13	0.00048234593	-0.00045490003	0.9999124	3.2147764e-08	-3.031853e-08	1
0	0.0002588895	-0.00024416787	0.99995184	0	0	0.5499998	0.0002588895	-0.00024416787	0.99995184	-1.7804375e-13	1.7990897e-15	1.5338203e-19	-1.7974789e-13	0.0005177444	-0.0004883032	0.9999037	3.4522557e-08	-3.2559463e-08	1
